,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes
305,ROBBINSTON,559,-67.1094283,45.0781324,36,40,0,0.473684211,31,45,0,0.407894737,52,24,0,0.684210526,32,44,0,0.421052632,38,38,0,0.5
306,ROCKLAND,7165,-69.1089293,44.1036914,589,568,34,0.509075194,695,469,27,0.597079038,879,294,18,0.749360614,618,546,27,0.530927835,747,425,19,0.637372014
307,ROCKPORT,3363,-69.0760975,44.1844817,361,234,6,0.606722689,418,179,4,0.700167504,498,98,5,0.83557047,375,213,13,0.637755102,443,150,8,0.747048904
308,ROME,1007,-69.903486,44.5722051,74,51,1,0.592,76,50,0,0.603174603,90,36,0,0.714285714,67,58,1,0.536,79,47,0,0.626984127
309,ROXBURY,361,-70.593401,44.6697827,48,29,1,0.623376623,40,37,1,0.519480519,54,24,0,0.692307692,34,43,1,0.441558442,46,31,1,0.597402597
310,RUMFORD,5744,-70.5508829,44.5536606,572,328,12,0.635555556,580,323,9,0.642303433,695,206,11,0.77136515,466,436,10,0.516629712,599,305,8,0.662610619
311,SABATTUS,5036,-70.1031247,44.1152935,421,380,11,0.525593009,363,435,14,0.454887218,481,315,16,0.604271357,298,498,16,0.374371859,397,408,7,0.493167702
312,SACO,19964,-70.4428286,43.5009176,2173,1849,75,0.540278468,2372,1657,68,0.588731695,2714,1298,85,0.676470588,1921,2094,82,0.478455791,2570,1480,47,0.634567901
313,SANFORD,21223,-70.7742804,43.4391627,2216,1573,117,0.584850884,2231,1568,107,0.587259805,2586,1179,141,0.68685259,1782,2006,118,0.470432946,2372,1450,84,0.620617478
314,SANGERVILLE,1269,-69.357317,45.1645956,85,75,1,0.53125,78,83,0,0.48447205,105,55,1,0.65625,68,93,0,0.422360248,86,75,0,0.534161491
315,SCARBOROUGH,20991,-70.3344921,43.5901974,2374,1572,82,0.601621896,2540,1419,69,0.641576156,2946,1009,73,0.744879899,2232,1706,90,0.56678517,2757,1223,48,0.692713568
316,SEARSMONT,1417,-69.1950411,44.3617419,85,100,2,0.459459459,92,94,1,0.494623656,132,53,2,0.713513514,92,93,2,0.497297297,110,77,0,0.588235294
