,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes
12,AMITY,217,-67.8493379,45.9305781,14,12,0,0.538461538,11,15,0,0.423076923,19,7,0,0.730769231,10,15,1,0.4,13,13,0,0.5
13,ANDOVER,831,-70.7511813,44.6356166,65,78,3,0.454545455,68,76,2,0.472222222,92,53,1,0.634482759,61,84,1,0.420689655,73,72,1,0.503448276
14,ANSON,2384,-69.8892408,44.7983618,147,129,2,0.532608696,135,143,0,0.485611511,168,110,0,0.604316547,104,173,1,0.375451264,147,131,0,0.528776978
15,APPLETON,1368,-69.2508768,44.289243,128,97,3,0.568888889,128,96,4,0.571428571,166,60,2,0.734513274,131,96,1,0.577092511,138,87,3,0.613333333
16,ARROWSIC,461,-69.7781014,43.8498037,110,44,1,0.714285714,124,31,0,0.8,135,18,2,0.882352941,109,44,2,0.712418301,121,34,0,0.780645161
17,ARUNDEL,4394,-70.5141622,43.4243008,259,232,5,0.527494908,274,217,5,0.558044807,337,157,2,0.682186235,249,243,4,0.506097561,306,187,3,0.620689655
18,ASHLAND,1217,-68.3895276,46.6609983,96,57,3,0.62745098,97,57,2,0.62987013,110,41,5,0.728476821,70,82,4,0.460526316,107,46,3,0.699346405
19,ATHENS,979,-69.6728296,44.9231142,30,38,1,0.441176471,18,50,1,0.264705882,38,31,0,0.550724638,15,51,3,0.227272727,26,42,1,0.382352941
20,ATKINSON,306,-69.0910809,45.1868588,26,31,0,0.456140351,25,31,1,0.446428571,34,23,0,0.596491228,17,40,0,0.298245614,31,26,0,0.543859649
21,AUBURN,23414,-70.2311655,44.0978509,1954,1373,65,0.5873159,2056,1290,46,0.614465033,2320,1010,62,0.696696697,1697,1637,58,0.5089982,2261,1101,30,0.672516359
22,AUGUSTA,18697,-69.7794897,44.3106241,2029,1049,53,0.659194282,2006,1069,56,0.652357724,2412,671,48,0.782354849,1704,1349,78,0.558139535,2127,962,42,0.688572354
23,AURORA,111,-68.3166626,44.8587319,14,14,0,0.5,9,19,0,0.321428571,14,13,1,0.518518519,8,20,0,0.285714286,12,16,0,0.428571429
24,AVON,438,-70.2711766,44.8061682,28,32,1,0.466666667,26,35,0,0.426229508,31,30,0,0.508196721,20,40,1,0.333333333,31,30,0,0.508196721
25,BAILEYVILLE,1447,-67.441251,45.1815281,100,68,5,0.595238095,89,80,4,0.526627219,119,50,4,0.704142012,66,104,3,0.388235294,108,62,3,0.635294118
26,BALDWIN,1622,-70.7781171,43.8331978,80,85,0,0.484848485,71,93,1,0.432926829,96,69,0,0.581818182,62,103,0,0.375757576,84,81,0,0.509090909
27,BANGOR,32262,-68.7712257,44.8016128,2444,1536,89,0.614070352,2550,1436,83,0.639739087,3071,912,86,0.771026864,2093,1852,124,0.530544994,2795,1200,74,0.699624531
28,BARING,237,-67.3116215,45.133367,15,18,0,0.454545455,17,16,0,0.515151515,22,11,0,0.666666667,10,23,0,0.303030303,15,18,0,0.454545455
29,BATH,8338,-69.8206023,43.9106353,924,605,26,0.604316547,1049,487,19,0.682942708,1210,328,17,0.786736021,928,602,25,0.606535948,1074,469,12,0.696046662
30,BEALS,498,-67.615038,44.5198491,23,18,1,0.56097561,24,17,1,0.585365854,28,13,1,0.682926829,23,19,0,0.547619048,25,16,1,0.609756098
31,BEDDINGTON,48,-68.0619547,44.8481283,9,4,0,0.692307692,9,4,0,0.692307692,9,4,0,0.692307692,9,4,0,0.692307692,9,4,0,0.692307692
32,BELFAST,6679,-69.0064234,44.4259092,868,683,61,0.559638943,1012,548,52,0.648717949,1190,380,42,0.757961783,889,668,55,0.570969814,1112,465,35,0.705136335
33,BELGRADE,3149,-69.8321003,44.4466514,258,159,1,0.618705036,242,172,4,0.584541063,313,103,2,0.752403846,228,188,2,0.548076923,267,149,2,0.641826923
34,BELMONT,913,-69.111907,44.3776275,75,63,2,0.543478261,63,76,1,0.45323741,85,54,1,0.611510791,57,81,2,0.413043478,75,64,1,0.539568345
35,BENTON,2713,-69.5508778,44.586177,204,149,3,0.577903683,184,169,3,0.521246459,230,121,5,0.655270655,157,196,3,0.444759207,205,148,3,0.580736544
36,BERWICK,7872,-70.8635506,43.2683199,384,242,2,0.61341853,370,258,0,0.589171975,456,169,3,0.7296,332,295,1,0.529505582,384,244,0,0.611464968
37,BETHEL,2738,-70.7898806,44.4044586,205,139,1,0.595930233,233,111,1,0.677325581,266,77,2,0.775510204,200,144,1,0.581395349,252,92,1,0.73255814
38,BIDDEFORD,21504,-70.4533844,43.4925843,2075,2035,106,0.50486618,2281,1847,88,0.552567829,2716,1409,91,0.658424242,1819,2289,108,0.442794547,2429,1709,78,0.58699855
39,BINGHAM,900,-69.8823059,45.0586793,73,49,0,0.598360656,62,60,0,0.508196721,79,43,0,0.647540984,61,61,0,0.5,75,47,0,0.614754098
40,BLAINE,671,-67.8686274,46.5047594,43,38,0,0.530864198,38,43,0,0.469135802,55,26,0,0.679012346,27,53,1,0.3375,43,38,0,0.530864198
41,BOOTHBAY,3173,-69.6337364,43.8762865,657,481,14,0.577328647,734,406,12,0.643859649,837,305,10,0.732924694,672,470,10,0.588441331,743,398,11,0.651183173
42,BOWDOIN,3211,-69.9696243,44.0495825,181,148,1,0.550151976,169,160,1,0.513677812,206,123,1,0.626139818,144,185,1,0.43768997,186,143,1,0.565349544
43,BOWDOINHAM,3056,-69.8968927,44.0091821,322,225,7,0.588665448,337,214,3,0.611615245,407,141,6,0.74270073,315,236,3,0.57168784,359,195,0,0.64801444
44,BOWERBANK,112,-69.2547818,45.3156873,10,9,0,0.526315789,8,10,1,0.444444444,11,8,0,0.578947368,8,11,0,0.421052632,8,10,1,0.444444444
45,BRADFORD,1228,-68.9366104,45.0671376,76,82,0,0.481012658,62,96,0,0.392405063,93,65,0,0.588607595,51,106,1,0.324840764,72,86,0,0.455696203
46,BRADLEY,1488,-68.6276101,44.9167519,100,67,1,0.598802395,88,79,1,0.526946108,116,50,2,0.698795181,72,95,1,0.431137725,94,73,1,0.562874251
47,BREMEN,807,-69.4026747,43.992866,86,63,1,0.577181208,93,55,2,0.628378378,112,37,1,0.751677852,90,60,0,0.6,99,51,0,0.66
48,BREWER,9035,-68.7614246,44.7967378,838,694,17,0.546997389,747,782,20,0.488554611,1000,526,23,0.655307995,641,888,20,0.419228254,904,631,14,0.588925081
49,BRIDGEWATER,562,-67.8433564,46.427822,22,35,1,0.385964912,28,29,1,0.49122807,36,22,0,0.620689655,19,38,1,0.333333333,33,25,0,0.568965517
50,BRIDGTON,5434,-70.7128684,44.0548021,341,256,6,0.57118928,356,240,7,0.597315436,440,158,5,0.735785953,328,268,7,0.55033557,380,218,5,0.635451505
51,BRIGHTON,67,-69.6947755,45.0453339,9,4,0,0.692307692,5,8,0,0.384615385,7,6,0,0.538461538,5,8,0,0.384615385,8,5,0,0.615384615
52,BRISTOL,2787,-69.4954131,43.9248053,365,182,8,0.667276051,403,148,4,0.731397459,461,90,4,0.836660617,387,162,6,0.704918033,412,137,6,0.750455373
53,BROOKLIN,812,-68.5691898,44.2661906,90,81,1,0.526315789,112,59,1,0.65497076,125,47,0,0.726744186,104,67,1,0.608187135,122,50,0,0.709302326
54,BROOKS,1133,-69.120873,44.5503501,73,71,1,0.506944444,59,84,2,0.412587413,75,70,0,0.517241379,55,87,3,0.387323944,66,77,2,0.461538462
55,BROOKSVILLE,913,-68.6847872,44.3469906,124,104,5,0.543859649,153,76,4,0.668122271,179,52,2,0.774891775,143,88,2,0.619047619,171,61,1,0.737068966
56,BROWNFIELD,1643,-70.9086768,43.9381275,77,71,0,0.52027027,76,71,1,0.517006803,91,57,0,0.614864865,73,74,1,0.496598639,84,63,1,0.571428571
57,BROWNVILLE,1187,-69.03339,45.3070685,78,57,2,0.577777778,66,70,1,0.485294118,102,33,2,0.755555556,62,75,0,0.452554745,81,55,1,0.595588235
58,BRUNSWICK,20535,-69.966996,43.9140162,2170,1073,50,0.669133518,2446,823,24,0.748241052,2640,627,26,0.808080808,2234,1021,38,0.686328725,2530,748,15,0.771812081
59,BUCKFIELD,2041,-70.3653359,44.2895134,141,140,2,0.501779359,116,165,2,0.412811388,167,115,1,0.592198582,108,173,2,0.384341637,139,143,1,0.492907801
60,BUCKSPORT,4925,-68.7701224,44.6289696,460,343,10,0.572851806,414,387,12,0.516853933,577,227,9,0.717661692,425,378,10,0.529265255,505,303,5,0.625
61,BURLINGTON,457,-68.4266875,45.2092264,21,25,0,0.456521739,22,24,0,0.47826087,32,14,0,0.695652174,17,29,0,0.369565217,24,22,0,0.52173913
62,BURNHAM,1231,-69.4292308,44.6927723,143,170,16,0.45686901,127,188,14,0.403174603,172,143,14,0.546031746,92,220,17,0.294871795,148,171,10,0.463949843
63,BUXTON,8327,-70.5189422,43.6378583,554,387,11,0.588735388,518,428,6,0.54756871,629,319,4,0.66350211,453,492,7,0.479365079,585,364,3,0.616438356
64,BYRON,149,-70.6306241,44.7220034,11,24,0,0.314285714,16,19,0,0.457142857,19,16,0,0.542857143,13,22,0,0.371428571,14,21,0,0.4
65,CALAIS,3005,-67.2786038,45.1889633,379,338,15,0.528591353,376,337,19,0.527349229,508,207,17,0.71048951,265,450,17,0.370629371,460,260,12,0.638888889
66,CAMBRIDGE,452,-69.4739368,45.0242231,38,49,0,0.436781609,27,60,0,0.310344828,41,46,0,0.471264368,29,58,0,0.333333333,36,50,1,0.418604651
67,CAMDEN,4783,-69.0647838,44.2097928,855,476,43,0.642374155,1068,275,31,0.79523455,1164,175,35,0.869305452,968,366,40,0.725637181,1093,254,27,0.811432814
68,CANAAN,2170,-69.5614376,44.7617295,115,108,2,0.515695067,110,114,1,0.491071429,138,85,2,0.618834081,93,132,0,0.413333333,121,104,0,0.537777778
69,CANTON,1098,-69.4454689,45.253783,61,53,1,0.535087719,50,64,1,0.438596491,73,42,0,0.634782609,39,74,2,0.345132743,51,63,1,0.447368421
70,CARATUNK,65,-69.9903474,45.2335733,15,4,0,0.789473684,15,4,0,0.789473684,17,2,0,0.894736842,15,4,0,0.789473684,16,3,0,0.842105263
71,CARMEL,2845,-69.0511537,44.7975688,147,163,0,0.474193548,112,198,0,0.361290323,177,129,4,0.578431373,110,199,1,0.355987055,141,169,0,0.45483871
72,CARROLL,146,-68.0366118,45.4144799,12,18,0,0.4,7,23,0,0.233333333,15,15,0,0.5,7,23,0,0.233333333,12,18,0,0.4
73,CARTHAGE,542,-70.4734195,44.6240737,37,26,1,0.587301587,34,29,1,0.53968254,42,22,0,0.65625,32,31,1,0.507936508,35,29,0,0.546875
74,CARY,201,-67.8619616,45.995333,11,16,0,0.407407407,13,14,0,0.481481481,16,11,0,0.592592593,9,18,0,0.333333333,13,14,0,0.481481481
75,CASCO,3928,-70.5211945,43.969246,237,173,2,0.57804878,231,180,1,0.562043796,287,124,1,0.698296837,221,191,0,0.536407767,255,157,0,0.618932039
76,CASTINE,992,-68.7989582,44.3888609,213,107,6,0.665625,222,99,5,0.691588785,270,51,5,0.841121495,278,46,2,0.858024691,237,85,4,0.736024845
77,CASWELL,282,-67.8644525,46.9811169,18,19,1,0.486486486,18,20,0,0.473684211,26,11,1,0.702702703,14,23,1,0.378378378,24,14,0,0.631578947
78,CHAPMAN,445,-68.1608669,46.6480974,35,24,0,0.593220339,36,23,0,0.610169492,43,16,0,0.728813559,28,31,0,0.474576271,37,22,0,0.627118644
79,CHARLESTON,1717,-69.0405949,45.0850615,68,94,1,0.419753086,50,113,0,0.306748466,79,83,1,0.487654321,44,118,1,0.271604938,56,106,1,0.345679012
80,CHARLOTTE,317,-67.2452664,45.0211881,32,26,1,0.551724138,20,38,1,0.344827586,38,21,0,0.644067797,20,38,1,0.344827586,27,32,0,0.457627119
81,CHELSEA,2750,-69.7172658,44.2503474,154,118,1,0.566176471,128,144,1,0.470588235,185,88,0,0.677655678,108,165,0,0.395604396,152,121,0,0.556776557
82,CHERRYFIELD,1161,-67.9258366,44.6072991,78,63,0,0.553191489,73,68,0,0.517730496,86,54,1,0.614285714,76,63,2,0.54676259,75,66,0,0.531914894
83,CHESTER,525,-68.4997474,45.4086674,35,37,1,0.486111111,26,47,0,0.356164384,38,34,1,0.527777778,22,51,0,0.301369863,26,46,1,0.361111111
84,CHESTERVILLE,1350,-70.0861692,44.5511745,119,121,4,0.495833333,116,125,3,0.481327801,160,83,1,0.658436214,95,147,2,0.392561983,128,115,1,0.526748971
85,CHINA,4302,-69.5172641,44.4786791,748,554,25,0.574500768,679,620,28,0.522709777,874,429,24,0.670759785,576,721,30,0.444101773,774,536,17,0.590839695
86,CLIFTON,905,-68.511138,44.8167372,60,64,0,0.483870968,54,70,0,0.435483871,73,50,1,0.593495935,48,76,0,0.387096774,57,66,1,0.463414634
87,CLINTON,3354,-69.5031267,44.637828,235,135,2,0.635135135,210,161,1,0.566037736,267,104,1,0.71967655,181,190,1,0.48787062,221,150,1,0.595687332
88,COLUMBIA,464,-67.8039998,44.669418,26,17,2,0.604651163,15,30,0,0.333333333,23,22,0,0.511111111,15,30,0,0.333333333,20,25,0,0.444444444
89,COOPER,145,-67.4397144,44.959521,32,11,0,0.744186047,25,18,0,0.581395349,33,10,0,0.76744186,25,18,0,0.581395349,32,11,0,0.744186047
90,COPLIN,159,-70.4697339,45.0987282,16,12,0,0.571428571,15,13,0,0.535714286,19,9,0,0.678571429,13,15,0,0.464285714,16,12,0,0.571428571
91,CORINNA,2141,-69.2617131,44.921174,145,105,1,0.58,119,131,1,0.476,155,95,1,0.62,102,149,0,0.406374502,141,110,0,0.561752988
92,CORINTH,2804,-68.9991802,44.9861321,268,306,8,0.466898955,238,333,11,0.416812609,348,224,10,0.608391608,186,380,16,0.328621908,279,291,12,0.489473684
93,CORNISH,1421,-70.8011731,43.8047977,85,60,0,0.586206897,79,66,0,0.544827586,99,46,0,0.682758621,66,79,0,0.455172414,89,56,0,0.613793103
94,CORNVILLE,1380,-69.6731067,44.8367272,63,75,1,0.456521739,61,78,0,0.438848921,77,60,2,0.562043796,45,93,1,0.326086957,69,69,1,0.5
95,CRAWFORD,96,-67.5513796,45.0528624,16,9,0,0.64,17,7,1,0.708333333,19,6,0,0.76,17,8,0,0.68,17,8,0,0.68
96,CRYSTAL,248,-68.3603059,45.9592186,20,15,0,0.571428571,19,16,0,0.542857143,20,14,1,0.588235294,16,18,1,0.470588235,16,19,0,0.457142857
97,CUMBERLAND,8208,-70.2585205,43.796573,818,458,16,0.641065831,912,371,9,0.710833983,1023,257,12,0.79921875,851,425,16,0.6669279,970,315,7,0.754863813
98,CUSHING,1495,-69.2614502,44.0137798,191,166,4,0.535014006,204,152,5,0.573033708,255,97,9,0.724431818,164,186,11,0.468571429,191,163,7,0.539548023
99,CUTLER,511,-67.2038737,44.6575794,27,30,2,0.473684211,36,23,0,0.610169492,35,22,2,0.614035088,31,27,1,0.534482759,32,26,1,0.551724138
100,CYR,94,-67.9992115,47.0968485,4,10,0,0.285714286,8,6,0,0.571428571,8,6,0,0.571428571,4,10,0,0.285714286,6,8,0,0.428571429
101,DALLAS,296,-70.5559011,44.9969997,44,37,0,0.543209877,49,32,0,0.604938272,61,19,1,0.7625,41,40,0,0.50617284,53,28,0,0.654320988
102,DAMARISCOTTA,2151,-69.5188885,44.0328765,235,119,7,0.663841808,260,95,6,0.732394366,301,53,7,0.850282486,264,92,5,0.741573034,270,85,6,0.76056338
103,DAYTON,2082,-70.5704598,43.5358694,221,191,2,0.536407767,215,198,1,0.520581114,248,165,1,0.600484262,172,240,2,0.417475728,234,180,0,0.565217391
104,DEBLOIS,54,-68.0147304,44.7414636,6,2,0,0.75,4,4,0,0.5,3,5,0,0.375,2,6,0,0.25,3,5,0,0.375
105,DEDHAM,1670,-68.6582536,44.6931707,141,115,2,0.55078125,127,130,1,0.494163424,172,85,1,0.6692607,127,129,2,0.49609375,143,114,1,0.556420233
106,DENMARK,1151,-70.8033966,43.9703491,91,85,2,0.517045455,100,77,1,0.564971751,112,65,1,0.632768362,83,93,2,0.471590909,104,74,0,0.584269663
107,DENNISTOWN,31,-70.2831241,45.6769905,1,2,0,0.333333333,0,3,0,0,2,1,0,0.666666667,0,3,0,0,1,2,0,0.333333333
108,DETROIT,827,-69.2960151,44.7927823,40,42,0,0.487804878,31,51,0,0.37804878,49,32,1,0.604938272,25,57,0,0.304878049,37,45,0,0.451219512
109,DEXTER,3706,-69.2898156,45.023918,378,266,15,0.586956522,339,310,10,0.522342065,451,194,14,0.699224806,269,376,14,0.417054264,378,273,8,0.580645161
110,DIXFIELD,2486,-70.4563366,44.5313932,130,120,2,0.52,124,128,0,0.492063492,151,100,1,0.601593625,99,153,0,0.392857143,126,126,0,0.5
111,DIXMONT,1126,-69.1628221,44.6803471,88,91,1,0.491620112,89,91,0,0.494444444,112,67,1,0.625698324,73,107,0,0.405555556,92,88,0,0.511111111
112,DOVER-FOXCROFT,4037,-69.2270821,45.1833421,266,240,4,0.5256917,264,240,6,0.523809524,329,175,6,0.652777778,210,291,9,0.419161677,295,208,7,0.586481113
113,DRESDEN,1678,-69.7242215,44.1070945,163,119,3,0.578014184,156,127,2,0.551236749,191,93,1,0.672535211,148,136,1,0.521126761,164,119,2,0.5795053
114,DREW,37,-68.0942848,45.6013167,3,1,0,0.75,3,1,0,0.75,3,1,0,0.75,1,3,0,0.25,4,0,0,1
115,DURHAM,3993,-70.1229905,43.972476,524,765,11,0.40651668,517,773,10,0.400775194,757,531,12,0.587732919,425,866,9,0.329202169,567,725,8,0.438854489
116,EASTBROOK,417,-68.2644618,44.6786857,30,39,1,0.434782609,28,42,0,0.4,38,31,1,0.550724638,24,46,0,0.342857143,34,36,0,0.485714286
117,EASTON,1181,-67.9098848,46.6410887,69,82,1,0.456953642,75,76,1,0.496688742,102,49,1,0.675496689,52,98,2,0.346666667,82,70,0,0.539473684
118,EASTPORT,1265,-66.9899785,44.9061906,264,180,8,0.594594595,279,169,4,0.622767857,369,78,5,0.825503356,236,208,8,0.531531532,296,149,7,0.665168539
119,EDDINGTON,2208,-68.6935362,44.8265844,191,170,2,0.529085873,161,202,0,0.443526171,203,158,2,0.56232687,137,223,3,0.380555556,188,174,1,0.519337017
120,EDGECOMB,1262,-69.630602,43.9584129,98,92,1,0.515789474,122,69,0,0.638743455,135,56,0,0.706806283,103,87,1,0.542105263,123,67,1,0.647368421
121,EDINBURG,125,-68.6903078,45.1764474,16,15,0,0.516129032,13,18,0,0.419354839,19,12,0,0.612903226,8,23,0,0.258064516,17,14,0,0.548387097
122,ELIOT,6908,-70.8000544,43.1531427,805,693,45,0.537383178,871,642,30,0.575677462,1078,441,24,0.709677419,721,786,36,0.478433975,930,592,21,0.611038108
123,ELLSWORTH,8180,-68.4194641,44.5434095,1077,996,68,0.519536903,1111,971,59,0.533621518,1374,708,59,0.659942363,982,1101,58,0.47143543,1205,884,52,0.57683102
124,EMBDEN,950,-69.8667244,44.9181137,53,49,1,0.519607843,46,55,2,0.455445545,60,42,1,0.588235294,39,62,2,0.386138614,53,49,1,0.519607843
125,ENFIELD,1536,-68.5658766,45.248726,98,88,0,0.52688172,90,96,0,0.483870968,110,76,0,0.591397849,71,115,0,0.38172043,106,80,0,0.569892473
126,ETNA,1199,-69.111155,44.8209007,55,52,0,0.514018692,34,73,0,0.317757009,52,55,0,0.485981308,37,70,0,0.345794393,41,66,0,0.38317757
127,EUSTIS,618,-70.438713,45.1402374,48,37,0,0.564705882,47,38,0,0.552941176,60,23,2,0.722891566,45,40,0,0.529411765,47,38,0,0.552941176
128,EXETER,1096,-69.1225343,44.9621841,69,62,0,0.526717557,68,63,0,0.519083969,89,41,1,0.684615385,57,74,0,0.435114504,77,54,0,0.58778626
129,FAIRFIELD,6552,-69.5986469,44.5884052,464,339,8,0.577833126,448,352,11,0.56,558,245,8,0.694894147,374,427,10,0.466916355,512,295,4,0.634448575
130,FALMOUTH,12312,-70.2601759,43.7435343,1152,652,17,0.638580931,1293,517,11,0.714364641,1439,373,9,0.79415011,1200,606,15,0.664451827,1376,439,6,0.758126722
131,FARMINGDALE,2925,-69.7714428,44.2443842,249,190,3,0.567198178,266,172,4,0.607305936,310,125,7,0.712643678,228,208,6,0.52293578,285,153,4,0.650684932
132,FARMINGTON,7762,-70.1512169,44.6704998,438,358,6,0.550251256,487,309,6,0.611809045,595,201,6,0.747487437,440,355,7,0.553459119,517,283,2,0.64625
133,FAYETTE,1163,-70.0336654,44.4089558,158,127,3,0.554385965,165,121,2,0.576923077,187,97,4,0.658450704,132,150,6,0.468085106,177,108,3,0.621052632
134,FRANKFORT,1189,-68.8744635,44.6086733,63,67,0,0.484615385,56,74,0,0.430769231,75,55,0,0.576923077,46,84,0,0.353846154,58,72,0,0.446153846
135,FRANKLIN,1559,-68.2316054,44.5874877,107,101,4,0.514423077,104,104,4,0.5,134,73,5,0.647342995,78,132,2,0.371428571,122,89,1,0.578199052
136,FREEDOM,724,-69.2967536,44.5298272,43,54,0,0.443298969,41,54,2,0.431578947,65,32,0,0.670103093,39,56,2,0.410526316,53,44,0,0.546391753
137,FREEPORT,8558,-70.1031201,43.8570065,1405,1217,71,0.535850496,1702,954,37,0.640813253,1956,697,40,0.737278553,1489,1146,58,0.565085389,1789,880,24,0.670288498
138,FRENCHBORO,59,-68.3625166,44.1181384,10,3,0,0.769230769,12,1,0,0.923076923,12,1,0,0.923076923,11,1,1,0.916666667,11,2,0,0.846153846
139,FRENCHVILLE,1037,-68.3797648,47.2808734,87,39,1,0.69047619,89,38,0,0.700787402,108,19,0,0.850393701,72,54,1,0.571428571,93,34,0,0.732283465
140,FRIENDSHIP,1134,-69.3341229,43.9838019,107,73,2,0.594444444,101,79,2,0.561111111,134,45,3,0.748603352,103,77,2,0.572222222,112,69,1,0.61878453
141,FRYEBURG,3451,-70.9806357,44.0164329,221,222,3,0.498871332,233,212,1,0.523595506,282,160,4,0.63800905,182,259,5,0.412698413,238,207,1,0.534831461
142,GARDINER,5653,-69.7753222,44.2300698,494,265,15,0.65085639,475,282,17,0.627476882,553,206,15,0.72859025,422,337,15,0.55599473,498,267,9,0.650980392
143,GARFIELD,74,-68.4973291,46.6014312,8,10,1,0.444444444,10,7,2,0.588235294,9,9,1,0.5,9,8,2,0.529411765,13,5,1,0.722222222
144,GARLAND,1052,-69.1603206,45.0383951,64,64,0,0.5,55,72,1,0.433070866,73,55,0,0.5703125,37,90,1,0.291338583,61,67,0,0.4765625
145,GEORGETOWN,1069,-69.752359,43.8021196,181,93,3,0.660583942,195,81,1,0.706521739,215,62,0,0.776173285,186,91,0,0.671480144,207,69,1,0.75
146,GILEAD,204,-70.9727112,44.3940915,10,13,0,0.434782609,13,9,1,0.590909091,17,5,1,0.772727273,6,16,1,0.272727273,12,10,1,0.545454545
147,GLENBURN,4563,-68.8457461,44.9168621,259,217,2,0.544117647,230,247,1,0.482180294,315,162,1,0.660377358,192,286,0,0.40167364,266,211,1,0.557651992
149,GORHAM,17978,-70.4442252,43.6795314,1440,1210,50,0.543396226,1587,1079,34,0.595273818,1838,820,42,0.691497366,1339,1311,50,0.505283019,1766,912,22,0.659447349
150,GOULDSBORO,1741,-68.039543,44.47852,173,159,3,0.521084337,184,148,3,0.554216867,247,86,2,0.741741742,150,183,2,0.45045045,204,129,2,0.612612613
151,GRAY,8223,-70.3317195,43.885632,547,376,2,0.592632719,512,411,2,0.554712893,622,301,2,0.673889491,465,459,1,0.503246753,576,348,1,0.623376623
152,GREENBUSH,1513,-68.6508635,45.0803409,49,68,1,0.418803419,36,82,0,0.305084746,66,51,1,0.564102564,35,81,2,0.301724138,48,70,0,0.406779661
153,GREENE,4339,-70.1403313,44.189794,284,209,4,0.576064909,257,239,1,0.518145161,309,185,3,0.625506073,232,262,3,0.469635628,297,199,1,0.598790323
154,GREENVILLE,1604,-69.5905814,45.4594863,165,159,4,0.509259259,149,175,4,0.459876543,214,111,3,0.658461538,151,174,3,0.464615385,183,145,0,0.557926829
155,GREENWOOD,807,-70.6508978,44.3184011,59,31,1,0.655555556,67,24,0,0.736263736,72,19,0,0.791208791,59,30,2,0.662921348,65,26,0,0.714285714
156,GUILFORD,1448,-69.3844783,45.1689375,84,75,1,0.528301887,75,85,0,0.46875,109,50,1,0.685534591,67,92,1,0.421383648,84,75,1,0.528301887
157,HALLOWELL,2381,-69.7908786,44.2859022,558,277,15,0.668263473,633,205,12,0.755369928,668,165,17,0.801920768,535,301,14,0.639952153,636,201,13,0.759856631
158,HAMLIN,203,-67.7939057,47.065878,10,20,0,0.333333333,17,13,0,0.566666667,16,14,0,0.533333333,10,20,0,0.333333333,19,11,0,0.633333333
159,HAMMOND,110,-67.9177143,46.1949948,6,10,0,0.375,5,11,0,0.3125,6,10,0,0.375,2,14,0,0.125,7,9,0,0.4375
160,HAMPDEN,7412,-68.8370436,44.7445421,820,705,16,0.537704918,826,697,18,0.542350624,1073,453,15,0.703145478,695,826,20,0.456936226,960,569,12,0.627861347
161,HANCOCK,2431,-68.2537463,44.5291357,367,316,22,0.537335286,372,319,14,0.538350217,467,224,14,0.675832127,320,372,13,0.462427746,411,285,9,0.590517241
162,HANOVER,262,-70.6942351,44.4967315,33,27,0,0.55,34,26,0,0.566666667,44,16,0,0.733333333,34,26,0,0.566666667,37,23,0,0.616666667
163,HARMONY,898,-69.5461603,44.9739462,43,70,0,0.380530973,51,62,0,0.451327434,52,60,1,0.464285714,40,73,0,0.353982301,52,61,0,0.460176991
164,HARPSWELL,4918,-69.9598343,43.7864342,777,356,22,0.685789938,869,278,8,0.757628596,946,197,12,0.827646544,844,300,11,0.737762238,866,280,9,0.755671902
165,HARRINGTON,964,-67.8109953,44.6193327,65,48,2,0.575221239,57,57,1,0.5,84,31,0,0.730434783,48,65,2,0.424778761,57,57,1,0.5
166,HARRISON,2800,-70.6792289,44.1103479,174,143,5,0.548895899,173,145,4,0.544025157,213,105,4,0.669811321,158,160,4,0.496855346,193,128,1,0.601246106
167,HARTFORD,1214,-70.346726,44.372845,70,51,2,0.578512397,66,56,1,0.540983607,80,43,0,0.650406504,55,67,1,0.450819672,66,57,0,0.536585366
168,HARTLAND,1724,-69.512853,44.8965211,114,117,1,0.493506494,82,149,1,0.354978355,124,107,1,0.536796537,81,150,1,0.350649351,103,128,1,0.445887446
169,HAYNESVILLE,112,-67.9911283,45.8261688,9,11,0,0.45,11,9,0,0.55,10,10,0,0.5,7,13,0,0.35,8,12,0,0.4
170,HEBRON,1419,-70.4064465,44.1981261,83,72,1,0.535483871,82,73,1,0.529032258,108,47,1,0.696774194,75,81,0,0.480769231,102,53,1,0.658064516
171,HERMON,6033,-68.9133724,44.81007,350,261,0,0.572831424,246,364,1,0.403278689,379,229,3,0.623355263,207,403,1,0.339344262,322,288,1,0.527868852
172,HERSEY,75,-68.4341636,46.0733805,0,4,0,0,0,4,0,0,2,2,0,0.5,0,4,0,0,0,4,0,0
173,HIGHLAND,70,-70.0617497,45.0751866,23,22,0,0.511111111,24,21,0,0.533333333,27,18,0,0.6,17,28,0,0.377777778,25,20,0,0.555555556
174,HIRAM,1642,-70.8322512,43.8350627,76,59,0,0.562962963,73,61,1,0.544776119,94,41,0,0.696296296,72,63,0,0.533333333,85,50,0,0.62962963
175,HODGDON,1267,-67.8497604,46.0612772,64,77,0,0.453900709,51,90,0,0.361702128,70,71,0,0.496453901,38,103,0,0.269503546,57,84,0,0.404255319
176,HOLDEN,3104,-68.6789218,44.7528499,303,241,3,0.556985294,274,265,8,0.508348794,372,173,2,0.682568807,245,298,4,0.451197053,329,216,2,0.603669725
177,HOLLIS,4747,-70.6208974,43.6346754,314,198,1,0.61328125,302,208,3,0.592156863,378,134,1,0.73828125,253,257,3,0.496078431,335,176,2,0.655577299
