,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes
325,SIDNEY,4468,-69.7226248,44.4530868,1055,1588,23,0.399167613,1102,1533,31,0.418216319,857,1791,18,0.323640483,1157,1483,26,0.438257576,1141,1458,67,0.439015006,1317,1304,45,0.502479969
326,SKOWHEGAN,8239,-69.7193803,44.7650366,1887,2162,106,0.466040998,2008,2023,124,0.498139419,1375,2668,112,0.34009399,1995,2054,106,0.49271425,1936,2059,160,0.484605757,2209,1796,150,0.551560549
327,SMITHFIELD,1009,-69.8294968,44.6303411,288,320,16,0.473684211,261,349,14,0.427868852,176,432,16,0.289473684,265,343,16,0.435855263,272,321,31,0.458684654,321,282,21,0.532338308
328,SMYRNA,418,-68.1203515,46.1644547,57,95,1,0.375,65,86,2,0.430463576,37,115,1,0.243421053,81,72,0,0.529411765,48,101,4,0.322147651,59,88,6,0.401360544
329,SOLON,1076,-69.858391,44.949502,295,307,5,0.490033223,267,332,8,0.445742905,155,448,4,0.257048093,305,294,8,0.50918197,282,307,18,0.478777589,307,289,11,0.515100671
330,SOMERVILLE,565,-69.4889674,44.3092443,137,207,2,0.398255814,157,186,3,0.457725948,89,256,1,0.257971014,175,169,2,0.50872093,166,172,8,0.49112426,167,169,10,0.49702381
331,SORRENTO,268,-68.1772341,44.4734117,96,110,4,0.466019417,96,109,5,0.468292683,87,119,4,0.422330097,114,92,4,0.553398058,94,108,8,0.465346535,129,74,7,0.63546798
332,SOUTHPORT,600,-69.6586568,43.8409158,179,246,6,0.421176471,178,247,6,0.418823529,231,194,6,0.543529412,225,199,7,0.530660377,202,212,17,0.487922705,285,138,8,0.673758865
333,SPRINGFIELD,425,-68.1562304,45.376663,64,110,4,0.367816092,54,121,3,0.308571429,25,148,5,0.144508671,84,91,3,0.48,40,131,7,0.233918129,69,103,6,0.401162791
334,STACYVILLE,383,-68.4290992,45.8992168,79,115,5,0.407216495,64,128,7,0.333333333,38,157,4,0.194871795,71,123,5,0.365979381,56,124,19,0.311111111,61,123,15,0.331521739
335,STANDISH,10099,-70.5509356,43.7355927,2933,2576,46,0.532401525,2555,2938,62,0.465137448,2257,3256,42,0.409395973,2828,2669,58,0.514462434,2549,2886,120,0.46899724,3087,2355,113,0.567254686
336,STARKS,636,-69.9661707,44.7306156,167,185,5,0.474431818,195,158,4,0.552407932,100,253,4,0.283286119,187,163,7,0.534285714,182,165,10,0.524495677,194,158,5,0.551136364
337,STETSON,1190,-69.1431864,44.8919352,340,387,5,0.467675378,307,418,7,0.423448276,181,545,6,0.249311295,288,439,5,0.396148556,277,433,22,0.390140845,332,383,17,0.464335664
338,STEUBEN,1132,-67.9652562,44.5107169,313,315,12,0.498407643,295,326,19,0.475040258,212,414,14,0.338658147,325,298,17,0.521669342,269,331,40,0.448333333,343,265,32,0.564144737
339,STOCKHOLM,232,-68.1394756,47.0422642,65,90,2,0.419354839,71,83,3,0.461038961,47,107,3,0.305194805,67,89,1,0.429487179,62,90,5,0.407894737,83,67,7,0.553333333
340,STONEHAM,248,-70.8125232,44.2503507,88,83,5,0.514619883,74,96,6,0.435294118,64,108,4,0.372093023,93,79,4,0.540697674,79,86,11,0.478787879,102,64,10,0.614457831
341,STONINGTON,1032,-68.6666926,44.156192,324,273,14,0.542713568,268,331,12,0.447412354,290,305,16,0.487394958,355,240,16,0.596638655,303,267,41,0.531578947,395,186,30,0.679862306
342,STOW,456,-70.9850708,44.160623,125,96,6,0.56561086,124,98,5,0.558558559,77,147,3,0.34375,157,64,6,0.71040724,108,109,10,0.497695853,127,94,6,0.574660633
343,STRONG,1160,-70.2208981,44.8075572,357,417,6,0.46124031,344,428,8,0.445595855,204,573,3,0.262548263,372,404,4,0.479381443,315,455,10,0.409090909,367,400,13,0.478487614
344,SULLIVAN,1266,-68.1518287,44.5265074,347,314,16,0.524962179,307,352,18,0.46585736,260,405,12,0.390977444,327,338,12,0.491729323,301,346,30,0.465224111,378,278,21,0.576219512
345,SUMNER,919,-70.4383944,44.3920113,275,278,6,0.497287523,263,289,7,0.476449275,141,415,3,0.253597122,274,280,5,0.494584838,256,287,16,0.47145488,275,274,10,0.500910747
346,SURRY,1502,-68.5016874,44.4959099,477,526,13,0.47557328,489,509,18,0.48997996,451,550,15,0.450549451,521,477,18,0.522044088,475,509,32,0.482723577,631,360,25,0.636730575
347,SWANVILLE,1351,-68.9978129,44.5211855,388,392,19,0.497435897,377,402,20,0.483953787,254,533,12,0.3227446,372,406,21,0.4781491,361,410,28,0.468223087,393,384,22,0.505791506
348,SWEDEN,410,-70.8228959,44.133285,132,120,4,0.523809524,127,126,3,0.501976285,112,142,2,0.440944882,149,104,3,0.588932806,133,114,9,0.538461538,163,88,5,0.64940239
349,TALMADGE,61,-67.7541957,45.3386197,25,15,0,0.625,20,20,0,0.5,6,34,0,0.15,24,16,0,0.6,19,21,0,0.475,19,21,0,0.475
350,TEMPLE,517,-70.2264519,44.6850592,185,140,3,0.569230769,189,136,3,0.581538462,105,222,1,0.321100917,186,138,4,0.574074074,149,167,12,0.471518987,184,135,9,0.576802508
351,THOMASTON,2745,-69.1816955,44.0789574,784,712,20,0.524064171,820,677,19,0.547762191,771,729,16,0.514,842,651,23,0.563965171,790,683,43,0.536320434,984,504,28,0.661290323
352,THORNDIKE,893,-69.236966,44.6029084,187,245,10,0.43287037,213,222,7,0.489655172,142,294,6,0.325688073,199,235,8,0.458525346,204,222,16,0.478873239,223,209,10,0.516203704
353,TOPSFIELD,225,-67.7357917,45.4188893,42,79,0,0.347107438,39,82,0,0.32231405,20,101,0,0.165289256,42,79,0,0.347107438,38,83,0,0.314049587,40,81,0,0.330578512
354,TOPSHAM,8878,-69.9759459,43.9275435,3051,2975,79,0.506306007,3043,2954,108,0.507420377,3379,2648,78,0.56064377,3399,2609,97,0.565745672,3255,2679,171,0.548533873,3940,2005,160,0.6627418
355,TREMONT,1599,-68.3519157,44.2537017,512,417,14,0.551130248,473,457,13,0.508602151,491,442,10,0.526259378,562,370,11,0.603004292,518,389,36,0.571113561,608,303,32,0.667398463
356,TRENTON,1558,-68.3700178,44.4389668,440,422,16,0.510440835,382,477,19,0.444703143,334,529,15,0.387022016,440,426,12,0.508083141,379,474,25,0.444314185,524,327,27,0.615746181
357,TROY,1047,-69.2416622,44.6648414,280,284,10,0.496453901,291,272,11,0.51687389,172,395,7,0.30335097,297,267,10,0.526595745,269,287,18,0.48381295,293,264,17,0.526032316
358,TURNER,5846,-70.2561671,44.2564588,1410,1952,21,0.419393218,1269,2084,30,0.378467044,1049,2312,22,0.312109491,1389,1972,22,0.41326986,1352,1959,72,0.40833585,1605,1722,56,0.482416592
359,UNION,2255,-69.293927,44.2296917,644,712,13,0.474926254,630,729,10,0.463576159,550,809,10,0.404709345,707,653,9,0.519852941,641,684,44,0.483773585,746,591,32,0.557965595
360,UNITY,2133,-69.3345032,44.6111643,489,565,16,0.463946869,591,464,15,0.560189573,392,665,13,0.370860927,599,452,19,0.569933397,553,483,34,0.533783784,596,430,44,0.580896686
361,UPTON,110,-71.0106316,44.6942207,25,33,2,0.431034483,24,34,2,0.413793103,9,48,3,0.157894737,30,29,1,0.508474576,25,32,3,0.438596491,22,35,3,0.385964912
362,VANCEBORO,133,-67.4300098,45.5626167,45,48,2,0.483870968,45,49,1,0.478723404,24,69,2,0.258064516,56,36,3,0.608695652,43,50,2,0.462365591,45,48,2,0.483870968
363,VASSALBORO,4368,-69.6777605,44.4588807,1088,1348,44,0.446633826,1027,1405,48,0.422286184,756,1685,39,0.309709136,1075,1360,45,0.441478439,1042,1362,76,0.43344426,1235,1181,64,0.511175497
364,VEAZIE,1832,-68.7053114,44.8386814,552,605,11,0.477095938,577,574,17,0.501303215,584,572,12,0.505190311,582,574,12,0.503460208,569,567,32,0.500880282,714,424,30,0.62741652
365,VIENNA,573,-69.9847779,44.5333976,191,198,7,0.491002571,188,201,7,0.483290488,152,239,5,0.388746803,213,176,7,0.547557841,194,182,20,0.515957447,213,171,12,0.5546875
366,VINALHAVEN,1127,-68.836749,44.0487345,469,302,16,0.608300908,421,347,19,0.548177083,451,324,12,0.581935484,542,234,11,0.698453608,462,297,28,0.608695652,562,202,23,0.735602094
367,WADE,263,-68.2264347,46.7841686,55,90,1,0.379310345,66,79,1,0.455172414,38,108,0,0.260273973,63,83,0,0.431506849,59,85,2,0.409722222,78,66,2,0.541666667
368,WAITE,95,-67.6902794,45.3256262,22,28,1,0.44,21,30,0,0.411764706,10,40,1,0.2,26,24,1,0.52,16,33,2,0.326530612,18,33,0,0.352941176
369,WALDO,864,-69.0761483,44.5125736,229,253,7,0.475103734,243,232,14,0.511578947,141,342,6,0.291925466,254,229,6,0.525879917,207,263,19,0.440425532,240,233,16,0.507399577
370,WALDOBORO,5069,-69.3756017,44.0952725,1339,1401,94,0.488686131,1375,1370,89,0.500910747,1051,1698,85,0.382320844,1432,1318,84,0.520727273,1342,1358,134,0.497037037,1632,1087,115,0.600220669
371,WALES,1617,-70.0608896,44.1523636,365,520,6,0.412429379,340,540,11,0.386363636,237,648,6,0.26779661,311,569,11,0.353409091,325,541,25,0.375288684,353,514,24,0.407151096
372,WALLAGRASS,525,-68.5972677,47.1294837,98,195,8,0.33447099,183,112,6,0.620338983,135,161,5,0.456081081,183,114,4,0.616161616,151,136,14,0.526132404,189,101,11,0.651724138
373,WALTHAM,339,-68.3383535,44.7092404,79,129,2,0.379807692,62,146,2,0.298076923,31,178,1,0.148325359,72,138,0,0.342857143,69,135,6,0.338235294,85,123,2,0.408653846
374,WARREN,4844,-69.2531464,44.116967,1023,1107,23,0.48028169,1029,1095,29,0.484463277,742,1399,12,0.346567025,1011,1120,22,0.474425153,958,1141,54,0.456407813,1117,983,53,0.531904762
375,WASHBURN,1541,-68.1567015,46.7882172,277,570,17,0.3270366,424,418,22,0.503562945,279,568,17,0.329397875,434,408,22,0.51543943,328,501,35,0.395657419,438,396,30,0.525179856
376,WASHINGTON,1514,-69.3676576,44.2735583,421,530,16,0.442691903,450,507,10,0.470219436,269,686,12,0.281675393,477,480,10,0.498432602,466,474,27,0.495744681,489,458,20,0.516367476
377,WATERBORO,7969,-70.7145912,43.5354332,2216,1757,25,0.557764913,1906,2049,45,0.481921618,1447,2520,33,0.364759264,2076,1885,39,0.524110073,1905,1995,100,0.488461538,2103,1814,83,0.536890477
378,WATERFORD,1590,-70.7091738,44.1932639,494,431,22,0.534054054,446,479,22,0.482162162,327,607,13,0.350107066,483,442,22,0.522162162,445,467,35,0.487938596,519,402,26,0.563517915
379,WATERVILLE,16558,-69.6317121,44.5520105,3947,3282,204,0.545995297,4458,2758,217,0.617793792,4273,2987,173,0.588567493,4474,2746,213,0.61966759,4199,2867,367,0.594254175,4714,2376,343,0.664880113
380,WAYNE,1156,-70.0661649,44.3486793,398,407,10,0.494409938,378,425,12,0.470734745,379,427,9,0.470223325,484,322,9,0.600496278,461,335,19,0.579145729,553,247,15,0.69125
381,WEBSTER,81,-68.1972396,45.4758958,23,9,0,0.71875,15,17,0,0.46875,8,24,0,0.25,20,11,1,0.64516129,14,18,0,0.4375,15,17,0,0.46875
382,WELD,417,-70.4214542,44.6986707,118,165,5,0.416961131,123,161,4,0.433098592,82,201,5,0.28975265,132,151,5,0.466431095,104,175,9,0.372759857,140,142,6,0.496453901
383,WELLINGTON,245,-69.5970206,45.0400981,50,68,2,0.423728814,52,66,2,0.440677966,30,90,0,0.25,55,62,3,0.47008547,36,80,4,0.310344828,60,56,4,0.517241379
384,WELLS,10675,-70.5805209,43.3222329,3443,3262,88,0.51349739,3459,3225,109,0.517504488,4081,2641,71,0.607110979,3942,2750,101,0.589061566,3479,3056,258,0.532364193,4381,2160,252,0.669775264
385,WESLEY,93,-67.6608307,44.952297,32,50,1,0.390243902,26,54,3,0.325,15,67,1,0.182926829,32,49,2,0.395061728,28,50,5,0.358974359,39,38,6,0.506493506
386,WESTBROOK,19074,-70.3711617,43.6770252,5502,4313,205,0.560570555,5653,4135,232,0.577543931,6059,3783,178,0.615626905,5976,3850,194,0.608182373,5657,3958,405,0.588351534,6235,3413,372,0.646247927
387,WESTFIELD,509,-67.9226825,46.5698715,81,175,2,0.31640625,120,131,7,0.478087649,78,180,0,0.302325581,140,113,5,0.553359684,117,134,7,0.466135458,139,112,7,0.553784861
388,WESTMANLAND,57,-68.236303,46.9755827,9,39,1,0.1875,22,25,2,0.468085106,17,31,1,0.354166667,28,20,1,0.583333333,17,30,2,0.361702128,28,17,4,0.622222222
389,WESTON,210,-67.8780687,45.7331159,79,104,2,0.431693989,83,98,4,0.458563536,46,136,3,0.252747253,100,83,2,0.546448087,71,105,9,0.403409091,89,88,8,0.502824859
390,WHITEFIELD,2280,-69.6253222,44.1700735,664,758,9,0.466947961,719,693,19,0.509206799,480,937,14,0.338743825,725,691,15,0.51200565,670,727,34,0.479599141,775,626,30,0.553176303
391,WHITING,480,-67.1755411,44.7909119,143,189,3,0.430722892,151,181,3,0.454819277,118,215,2,0.354354354,185,147,3,0.557228916,155,172,8,0.474006116,183,146,6,0.556231003
392,WHITNEYVILLE,204,-67.5233265,44.7220213,65,49,1,0.570175439,52,63,0,0.452173913,21,94,0,0.182608696,65,50,0,0.565217391,51,64,0,0.443478261,65,49,1,0.570175439
393,WILLIMANTIC,141,-69.4083826,45.3067165,33,54,1,0.379310345,23,65,0,0.261363636,16,72,0,0.181818182,31,57,0,0.352272727,20,67,1,0.229885057,35,52,1,0.402298851
394,WILTON,3960,-70.2280983,44.5926953,1089,1109,30,0.495450409,1019,1181,28,0.463181818,727,1478,23,0.329705215,1089,1107,32,0.495901639,996,1174,58,0.458986175,1107,1065,56,0.509668508
395,WINDHAM,18540,-70.398706,43.7588577,5155,4854,126,0.515036467,4697,5290,153,0.470311405,4705,5329,106,0.468905721,5050,4950,140,0.505,4914,4897,329,0.500866374,5587,4288,265,0.565772152
396,WINDSOR,2609,-69.580599,44.3106263,566,808,14,0.411935953,615,750,23,0.450549451,310,1064,14,0.225618632,607,761,20,0.44371345,597,757,34,0.440915805,680,673,35,0.502586844
397,WINN,406,-68.3326304,45.4512875,73,126,2,0.366834171,65,133,3,0.328282828,29,170,2,0.145728643,84,116,1,0.42,59,136,6,0.302564103,79,119,3,0.398989899
398,WINSLOW,7618,-69.6203137,44.5459679,1794,2535,77,0.414414414,2048,2268,90,0.474513438,1831,2498,77,0.422961423,2036,2290,80,0.470642626,2103,2155,148,0.493893847,2494,1795,117,0.581487526
399,WINTERPORT,3985,-68.8449792,44.6377864,1028,1182,20,0.465158371,994,1208,28,0.451407811,796,1416,18,0.359855335,1031,1174,25,0.467573696,953,1225,52,0.437557392,1150,1041,39,0.524874487
400,WINTERVILLE,207,-68.644972,46.9544298,52,80,6,0.393939394,75,56,7,0.572519084,48,85,5,0.360902256,76,56,6,0.575757576,59,70,9,0.457364341,87,41,10,0.6796875
401,WINTHROP,5993,-69.9769721,44.3050332,1677,1954,77,0.461856238,1697,1924,87,0.468655068,1631,2005,72,0.448569857,1887,1741,80,0.520121279,1834,1740,134,0.513150532,2242,1360,106,0.622431982
402,WISCASSET,3763,-69.665583,44.0028921,1117,1098,39,0.504288939,1089,1117,45,0.493653672,865,1350,36,0.390519187,1156,1050,45,0.524025385,991,1177,83,0.457103321,1237,944,70,0.567171022
403,WOODLAND,1143,-68.1209284,46.8822935,251,420,15,0.374068554,349,322,15,0.520119225,181,492,13,0.268945022,326,346,14,0.485119048,288,363,35,0.442396313,360,296,30,0.548780488
404,WOODSTOCK,1296,-70.5994659,44.4010489,362,408,26,0.47012987,367,401,28,0.477864583,237,531,28,0.30859375,379,392,25,0.49156939,396,355,45,0.527296937,394,365,37,0.519104084
405,WOODVILLE,236,-68.4427962,45.5014105,39,91,1,0.3,45,84,2,0.348837209,12,118,1,0.092307692,47,83,1,0.361538462,34,95,2,0.263565891,39,91,1,0.3
406,WOOLWICH,3181,-69.8009529,43.9187038,991,1003,29,0.496990973,931,1061,31,0.467369478,806,1188,29,0.404212638,1006,981,36,0.506290891,906,1068,49,0.458966565,1173,805,45,0.593023256
407,YARMOUTH,8589,-70.1867227,43.8006208,2772,2885,68,0.490012374,2430,3208,87,0.431003902,4147,1522,56,0.731522314,3563,2081,81,0.631289865,3537,2041,147,0.634098243,4088,1508,129,0.730521801
408,YORK,13290,-70.6482581,43.1617483,4272,4613,143,0.480810355,4515,4321,192,0.510977818,6480,2398,150,0.72989412,6044,2821,163,0.68178229,4845,3688,495,0.567795617,6602,2049,377,0.763148769
