,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes
225,MADISON,4620,-69.8797486,44.7975466,1085,1187,34,0.477552817,1080,1195,31,0.474725275,645,1641,20,0.282152231,1094,1185,27,0.480035103,1049,1192,65,0.468094601,1153,1098,55,0.512216793
226,MAGALLOWAY,45,-71.0004465,44.8543365,9,9,0,0.5,3,15,0,0.166666667,1,17,0,0.055555556,7,11,0,0.388888889,6,12,0,0.333333333,5,13,0,0.277777778
227,MANCHESTER,2556,-69.8603256,44.324513,712,937,30,0.431776834,739,916,24,0.44652568,756,898,25,0.457073761,795,853,31,0.482402913,823,805,51,0.505528256,986,650,43,0.602689487
228,MAPLETON,1834,-68.1616248,46.6818041,405,737,13,0.354640981,492,643,20,0.433480176,293,845,17,0.257469244,455,678,22,0.401588703,442,679,34,0.394290812,533,589,33,0.475044563
229,MARIAVILLE,538,-68.4155785,44.7206287,149,142,1,0.512027491,126,165,1,0.432989691,84,207,1,0.288659794,136,156,0,0.465753425,125,165,2,0.431034483,153,137,2,0.527586207
230,MARSHFIELD,512,-67.4774923,44.7331326,117,193,7,0.377419355,120,193,4,0.383386581,86,227,4,0.274760383,137,176,4,0.437699681,121,190,6,0.389067524,172,141,4,0.549520767
231,MASARDIS,227,-68.3611507,46.5036534,57,70,3,0.448818898,65,63,2,0.5078125,19,110,1,0.147286822,72,55,3,0.566929134,63,61,6,0.508064516,66,62,2,0.515625
232,MATTAWAMKEAG,651,-68.3544669,45.5136701,142,197,23,0.418879056,144,194,24,0.426035503,77,267,18,0.223837209,168,176,18,0.488372093,127,211,24,0.375739645,180,159,23,0.530973451
233,MAXFIELD,98,-68.7522632,45.2833559,30,26,2,0.535714286,17,39,2,0.303571429,10,46,2,0.178571429,25,31,2,0.446428571,17,37,4,0.314814815,19,36,3,0.345454545
234,MEDDYBEMPS,147,-67.3558247,45.0384096,48,55,2,0.466019417,38,65,2,0.368932039,23,81,1,0.221153846,47,56,2,0.45631068,34,69,2,0.330097087,47,57,1,0.451923077
235,MEDFORD,241,-68.8517011,45.2853307,94,57,1,0.622516556,64,86,2,0.426666667,27,124,1,0.178807947,63,88,1,0.417218543,66,81,5,0.448979592,54,94,4,0.364864865
236,MEDWAY,1310,-68.5298394,45.6122644,286,449,16,0.389115646,258,472,21,0.353424658,151,585,15,0.205163043,313,425,13,0.424119241,284,443,24,0.390646492,351,385,15,0.476902174
237,MERCER,637,-69.9364462,44.6781171,191,228,5,0.455847255,195,223,6,0.466507177,109,311,4,0.25952381,197,223,4,0.469047619,192,218,14,0.468292683,230,184,10,0.555555556
238,MERRILL,250,-68.2322503,46.164217,56,80,1,0.411764706,57,78,2,0.422222222,36,100,1,0.264705882,66,70,1,0.485294118,54,79,4,0.406015038,57,78,2,0.422222222
239,MEXICO,2629,-70.5433579,44.5571093,695,659,8,0.513293944,764,578,20,0.569299553,426,925,11,0.315321984,814,531,17,0.605204461,714,609,39,0.53968254,796,538,28,0.596701649
240,MILBRIDGE,1294,-67.8808344,44.5353556,311,367,17,0.458702065,332,351,12,0.486090776,289,398,8,0.420669578,375,308,12,0.549048316,324,344,27,0.48502994,406,261,28,0.608695652
241,MILFORD,2980,-68.6439667,44.946216,853,908,22,0.484383873,889,863,28,0.507420091,596,1163,21,0.33882888,816,935,29,0.466019417,812,910,58,0.471544715,969,763,48,0.559468822
242,MILLINOCKET,4252,-68.7098119,45.6572639,1021,1413,54,0.419474117,1177,1261,50,0.482772765,875,1568,45,0.358166189,1286,1159,43,0.52597137,1038,1382,68,0.42892562,1414,1008,66,0.583815029
243,MILO,2285,-68.986263,45.2533339,525,681,33,0.435323383,589,617,33,0.488391376,336,876,27,0.277227723,586,626,27,0.48349835,524,668,47,0.439597315,623,579,37,0.518302829
244,MINOT,2586,-70.3471228,44.1563223,748,928,7,0.446300716,672,997,14,0.402636309,604,1070,9,0.360812425,697,976,10,0.416616856,671,984,28,0.405438066,813,846,24,0.49005425
245,MONMOUTH,4136,-70.0356069,44.238682,1133,1249,30,0.475650714,1099,1286,27,0.460796646,823,1565,24,0.344639866,1092,1293,27,0.457861635,1094,1266,52,0.463559322,1295,1079,38,0.545492839
246,MONROE,943,-69.018094,44.6150724,291,268,2,0.520572451,282,273,6,0.508108108,186,371,4,0.333931777,289,270,2,0.516994633,245,305,11,0.445454545,321,229,11,0.583636364
247,MONSON,655,-69.5011619,45.2869936,236,234,4,0.50212766,184,281,9,0.395698925,112,361,1,0.236786469,224,242,8,0.480686695,189,274,11,0.408207343,222,241,11,0.479481641
248,MONTICELLO,741,-67.8425211,46.3083815,150,267,8,0.35971223,181,240,4,0.429928741,71,349,5,0.169047619,199,220,6,0.474940334,184,230,11,0.444444444,197,219,9,0.473557692
249,MONTVILLE,1087,-69.2803202,44.4372947,314,327,6,0.489859594,322,316,9,0.504702194,241,403,3,0.374223602,343,298,6,0.535101404,332,290,25,0.533762058,343,284,20,0.547049442
250,MORO,35,-68.3594763,46.1486604,7,20,0,0.259259259,2,25,0,0.074074074,5,22,0,0.185185185,9,18,0,0.333333333,2,25,0,0.074074074,6,21,0,0.222222222
251,MORRILL,889,-69.1492059,44.4431297,187,350,14,0.348230912,222,315,14,0.413407821,153,385,13,0.284386617,222,310,19,0.417293233,218,305,28,0.416826004,260,267,24,0.493358634
252,MOSCOW,505,-69.8910751,45.0713866,124,136,3,0.476923077,132,130,1,0.503816794,45,214,4,0.173745174,122,136,5,0.472868217,101,152,10,0.399209486,155,103,5,0.600775194
253,NAPLES,3969,-70.6180214,43.986313,1256,1061,16,0.542080276,1040,1271,22,0.450021636,882,1439,12,0.380008617,1187,1127,19,0.512964564,1075,1198,60,0.472943247,1256,1027,50,0.550153307
254,NEWBURGH,1519,-69.0003898,44.7173675,426,531,9,0.445141066,400,553,13,0.419727177,275,686,5,0.28616025,411,550,5,0.427679501,381,557,28,0.406183369,480,467,19,0.50686378
255,NEWCASTLE,1767,-69.5386186,44.0365242,647,604,19,0.517186251,711,543,16,0.566985646,736,523,11,0.584590945,839,411,20,0.6712,726,508,36,0.588330632,893,348,29,0.719580983
