,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes,q7yes,q7no,q7blank,q7pyes
226,MAGALLOWAY,45,-71.0004465,44.8543365,0,17,0,0,7,10,0,0.411764706,5,12,0,0.294117647,6,11,0,0.352941176,3,14,0,0.176470588,2,15,0,0.117647059,5,12,0,0.294117647
227,MANCHESTER,2556,-69.8603256,44.324513,614,816,17,0.429370629,848,543,56,0.609633357,858,531,58,0.617710583,914,475,58,0.658027358,733,646,68,0.531544598,886,504,57,0.637410072,828,559,60,0.596971882
228,MAPLETON,1834,-68.1616248,46.6818041,250,677,12,0.269687163,488,421,30,0.536853685,532,371,36,0.589147287,538,364,37,0.596452328,381,517,41,0.424276169,529,381,29,0.581318681,408,494,37,0.45232816
229,MARIAVILLE,538,-68.4155785,44.7206287,76,139,6,0.353488372,114,102,5,0.527777778,107,105,9,0.504716981,110,104,7,0.514018692,90,122,9,0.424528302,109,104,8,0.511737089,101,110,10,0.478672986
230,MARSHFIELD,512,-67.4774923,44.7331326,78,191,3,0.289962825,134,124,14,0.519379845,135,122,15,0.525291829,139,122,11,0.53256705,106,153,13,0.409266409,137,122,13,0.528957529,138,119,15,0.536964981
231,MASARDIS,227,-68.3611507,46.5036534,30,82,3,0.267857143,72,40,3,0.642857143,72,42,1,0.631578947,67,44,4,0.603603604,57,53,5,0.518181818,74,37,4,0.666666667,63,48,4,0.567567568
232,MATTAWAMKEAG,651,-68.3544669,45.5136701,115,197,3,0.368589744,178,117,20,0.603389831,170,121,24,0.58419244,173,119,23,0.592465753,132,158,25,0.455172414,178,114,23,0.609589041,165,125,25,0.568965517
233,MAXFIELD,98,-68.7522632,45.2833559,11,37,2,0.229166667,24,23,3,0.510638298,20,26,4,0.434782609,23,24,3,0.489361702,15,31,4,0.326086957,17,30,3,0.361702128,20,28,2,0.416666667
234,MEDDYBEMPS,147,-67.3558247,45.0384096,24,63,0,0.275862069,36,48,3,0.428571429,37,48,2,0.435294118,52,32,3,0.619047619,34,49,4,0.409638554,33,52,2,0.388235294,37,48,2,0.435294118
235,MEDFORD,241,-68.8517011,45.2853307,29,84,1,0.256637168,52,57,5,0.47706422,62,45,7,0.579439252,56,51,7,0.523364486,41,67,6,0.37962963,46,62,6,0.425925926,47,61,6,0.435185185
236,MEDWAY,1310,-68.5298394,45.6122644,127,507,16,0.200315457,305,312,33,0.494327391,356,266,28,0.572347267,353,263,34,0.573051948,247,361,42,0.40625,322,301,27,0.516853933,315,306,29,0.507246377
237,MERCER,637,-69.9364462,44.6781171,138,227,1,0.378082192,209,145,12,0.59039548,213,140,13,0.603399433,201,153,12,0.56779661,168,183,15,0.478632479,206,147,13,0.583569405,191,159,16,0.545714286
238,MERRILL,250,-68.2322503,46.164217,39,73,0,0.348214286,48,59,5,0.448598131,46,59,7,0.438095238,58,48,6,0.547169811,41,65,6,0.386792453,53,58,1,0.477477477,41,65,6,0.386792453
239,MEXICO,2629,-70.5433579,44.5571093,420,686,13,0.379746835,675,412,32,0.620975161,710,379,30,0.651974288,695,392,32,0.639374425,511,575,33,0.47053407,736,353,30,0.675849403,642,445,32,0.590616375
240,MILBRIDGE,1294,-67.8808344,44.5353556,240,329,14,0.421792619,302,244,37,0.553113553,309,239,35,0.563868613,329,222,32,0.597096189,265,281,37,0.485347985,308,244,31,0.557971014,334,213,36,0.610603291
241,MILFORD,2980,-68.6439667,44.946216,455,834,21,0.352986811,756,503,51,0.600476569,789,459,62,0.632211538,818,439,53,0.650755768,646,604,60,0.5168,815,446,49,0.64631245,719,535,56,0.573365231
242,MILLINOCKET,4252,-68.7098119,45.6572639,647,1383,57,0.318719212,1134,847,106,0.572438163,1302,666,119,0.661585366,1205,775,107,0.608585859,945,1024,118,0.479939055,1251,736,100,0.62959235,1128,854,105,0.569122099
243,MILO,2285,-68.986263,45.2533339,278,696,12,0.285420945,503,433,50,0.537393162,555,382,49,0.592315902,591,353,42,0.626059322,448,478,60,0.483801296,554,385,47,0.58998935,506,430,50,0.540598291
244,MINOT,2586,-70.3471228,44.1563223,483,874,20,0.355932203,671,649,57,0.508333333,670,641,66,0.511060259,703,614,60,0.533788914,519,790,68,0.396485867,707,608,62,0.537642586,653,664,60,0.495823842
245,MONMOUTH,4136,-70.0356069,44.238682,674,1343,22,0.334159643,1195,792,52,0.60140916,1167,811,61,0.589989889,1194,776,69,0.606091371,1013,945,81,0.517364658,1232,756,51,0.61971831,1100,868,71,0.558943089
246,MONROE,943,-69.018094,44.6150724,165,290,7,0.362637363,292,151,19,0.659142212,257,187,18,0.578828829,244,193,25,0.558352403,186,246,30,0.430555556,273,173,16,0.612107623,244,191,27,0.56091954
247,MONSON,655,-69.5011619,45.2869936,119,272,16,0.304347826,211,173,23,0.549479167,199,182,26,0.522309711,203,185,19,0.523195876,155,225,27,0.407894737,199,177,31,0.529255319,176,202,29,0.465608466
248,MONTICELLO,741,-67.8425211,46.3083815,119,213,5,0.358433735,165,149,23,0.525477707,184,126,27,0.593548387,168,147,22,0.533333333,126,186,25,0.403846154,183,131,23,0.582802548,136,176,25,0.435897436
249,MONTVILLE,1087,-69.2803202,44.4372947,232,246,7,0.485355649,274,186,25,0.595652174,270,182,33,0.597345133,245,206,34,0.543237251,187,262,36,0.416481069,273,169,43,0.617647059,232,222,31,0.511013216
250,MORO,35,-68.3594763,46.1486604,3,21,0,0.125,7,16,1,0.304347826,5,18,1,0.217391304,7,16,1,0.304347826,8,15,1,0.347826087,6,17,1,0.260869565,7,16,1,0.304347826
251,MORRILL,889,-69.1492059,44.4431297,129,312,9,0.292517007,233,189,28,0.552132701,228,190,32,0.545454545,240,179,31,0.572792363,189,224,37,0.457627119,211,207,32,0.504784689,212,204,34,0.509615385
252,MOSCOW,505,-69.8910751,45.0713866,81,141,1,0.364864865,115,88,20,0.566502463,140,67,16,0.676328502,115,91,17,0.558252427,98,106,19,0.480392157,135,72,16,0.652173913,120,89,14,0.574162679
253,NAPLES,3969,-70.6180214,43.986313,881,969,8,0.476216216,991,816,51,0.5484228,1022,779,57,0.567462521,1057,751,50,0.584623894,781,1009,68,0.436312849,1072,732,54,0.594235033,942,851,65,0.525376464
254,NEWBURGH,1519,-69.0003898,44.7173675,256,507,11,0.335517693,406,333,35,0.549391069,412,321,41,0.56207367,404,329,41,0.551159618,314,413,47,0.431911967,411,319,44,0.563013699,386,344,44,0.528767123
255,NEWCASTLE,1767,-69.5386186,44.0365242,602,420,21,0.589041096,687,302,54,0.694641052,660,329,54,0.667340748,630,361,52,0.635721493,549,429,65,0.561349693,695,303,45,0.696392786,679,313,51,0.684475806
256,NEWFIELD,1585,-70.8470062,43.6481341,294,393,20,0.427947598,365,301,41,0.548048048,364,297,46,0.550680787,353,307,47,0.534848485,274,381,52,0.418320611,392,273,42,0.589473684,337,325,45,0.509063444
257,NEWPORT,3273,-69.2852859,44.8370741,449,911,20,0.330147059,728,592,60,0.551515152,779,539,62,0.591047041,794,527,59,0.601059803,589,724,67,0.448591013,765,558,57,0.578231293,698,620,62,0.529590288
258,NEWRY,353,-70.7885765,44.4884245,75,160,3,0.319148936,159,67,12,0.703539823,141,79,18,0.640909091,138,84,16,0.621621622,122,99,17,0.552036199,138,84,16,0.621621622,136,85,17,0.615384615
259,NOBLEBORO,1653,-69.4851938,44.0795596,410,515,15,0.443243243,549,351,40,0.61,526,367,47,0.589025756,522,374,44,0.582589286,522,374,44,0.582589286,424,462,54,0.478555305,506,393,41,0.562847608
260,NORRIDGEWOCK,3222,-69.7905955,44.7130794,521,915,29,0.36281337,758,625,82,0.548083876,810,572,83,0.586107091,804,573,88,0.583877996,622,751,92,0.453022578,797,581,87,0.578374456,726,647,92,0.528769119
261,NORTHFIELD,140,-67.5705504,44.8289649,37,63,1,0.37,53,44,4,0.546391753,53,43,5,0.552083333,54,40,7,0.574468085,42,52,7,0.446808511,57,38,6,0.6,55,40,6,0.578947368
262,NORTHPORT,1581,-68.9613175,44.3377823,431,414,28,0.510059172,498,334,41,0.598557692,472,359,42,0.567990373,477,350,46,0.576783555,406,415,52,0.494518879,527,307,39,0.631894484,503,325,45,0.607487923
263,NORWAY,4991,-70.5448096,44.2139566,971,1192,28,0.448913546,1234,852,105,0.5915628,1277,798,116,0.615421687,1212,860,119,0.584942085,939,1112,140,0.457825451,1339,750,102,0.640976544,1186,891,114,0.571015888
264,OAKFIELD,678,-68.1589208,46.1007097,81,232,15,0.258785942,157,142,29,0.525083612,185,113,30,0.620805369,181,115,32,0.611486486,108,183,37,0.371134021,181,116,31,0.609427609,143,152,33,0.484745763
265,OAKLAND,6309,-69.721995,44.5402221,1157,1657,44,0.411158493,1645,1121,92,0.59472162,1649,1086,123,0.602925046,1746,1004,108,0.634909091,1366,1360,132,0.501100514,1704,1046,108,0.619636364,1528,1210,120,0.558071585
266,OGUNQUIT,929,-70.5986223,43.2468352,533,227,25,0.701315789,512,228,45,0.691891892,543,189,53,0.741803279,546,189,50,0.742857143,472,254,59,0.650137741,566,168,51,0.771117166,568,171,46,0.768606225
267,ORIENT,140,-67.8400137,45.8170031,23,38,0,0.37704918,30,27,4,0.526315789,38,17,6,0.690909091,33,22,6,0.6,29,25,7,0.537037037,31,24,6,0.563636364,26,30,5,0.464285714
268,ORLAND,2181,-68.7378128,44.5706252,424,661,19,0.39078341,630,436,38,0.590994371,686,380,38,0.643527205,680,389,35,0.636108513,560,501,43,0.527803959,655,410,39,0.615023474,642,421,41,0.603951082
269,ORONO,10799,-68.6719411,44.8831125,1708,1757,63,0.492929293,2565,816,147,0.758651287,2492,843,193,0.747226387,2579,771,178,0.769850746,2223,1086,219,0.67180417,2698,686,144,0.797281324,2338,976,214,0.705491853
270,ORRINGTON,3688,-68.7904626,44.7202096,655,1234,18,0.346744309,969,861,77,0.529508197,1027,801,79,0.561816193,1119,720,68,0.608482871,852,970,85,0.467618002,996,841,70,0.542188351,973,857,77,0.531693989
271,OSBORN,66,-68.2361132,44.7788954,14,28,0,0.333333333,24,17,1,0.585365854,27,13,2,0.675,17,24,1,0.414634146,15,26,1,0.365853659,20,21,1,0.487804878,20,21,1,0.487804878
272,OTIS,659,-68.4528017,44.7122953,119,226,4,0.344927536,169,167,13,0.50297619,150,176,23,0.460122699,169,162,18,0.510574018,137,194,18,0.413897281,165,165,19,0.5,153,178,18,0.46223565
273,OTISFIELD,1806,-70.5492259,44.0903488,361,546,10,0.398015436,503,379,35,0.570294785,515,365,37,0.585227273,478,390,49,0.550691244,400,473,44,0.458190149,540,339,38,0.614334471,489,385,43,0.559496568
274,OXFORD,4096,-70.4931557,44.1317459,636,1147,14,0.356702187,915,816,66,0.528596187,993,747,57,0.570689655,980,753,64,0.565493364,719,1005,73,0.417053364,1026,714,57,0.589655172,890,842,65,0.513856813
275,PALERMO,1521,-69.4672352,44.4059902,247,479,20,0.340220386,378,324,44,0.538461538,393,307,46,0.561428571,401,297,48,0.574498567,311,385,50,0.44683908,381,318,47,0.545064378,371,328,47,0.530758226
276,PALMYRA,1975,-69.3586588,44.8464519,245,604,22,0.288574794,456,377,38,0.547418968,479,351,41,0.577108434,454,370,47,0.550970874,345,477,49,0.419708029,477,353,41,0.574698795,433,391,47,0.525485437
277,PARIS,5152,-70.5006152,44.2597917,925,1305,38,0.414798206,1242,934,92,0.570772059,1270,903,95,0.584445467,1242,923,103,0.573672055,922,1222,124,0.430037313,1357,812,99,0.625633933,1148,1001,119,0.534201954
278,PARKMAN,795,-69.4331038,45.1336651,101,324,3,0.237647059,186,215,27,0.463840399,213,191,24,0.527227723,183,220,25,0.454094293,137,261,30,0.344221106,172,228,28,0.43,162,234,32,0.409090909
279,PARSONSFIELD,1962,-70.9286755,43.7270214,366,439,8,0.454658385,443,322,48,0.579084967,445,315,53,0.585526316,449,315,49,0.587696335,359,399,55,0.473614776,454,306,53,0.597368421,405,358,50,0.530799476
280,PASSADUMKEAG,358,-68.6166937,45.1853362,47,144,2,0.246073298,74,106,13,0.411111111,100,80,13,0.555555556,88,89,16,0.497175141,56,119,18,0.32,82,99,12,0.453038674,73,104,16,0.412429379
281,PATTEN,970,-68.4461424,45.9964392,109,347,15,0.239035088,224,211,36,0.514942529,242,189,40,0.561484919,254,173,44,0.594847775,177,250,44,0.414519906,238,195,38,0.54965358,209,222,40,0.484918794
282,PEMBROKE,788,-67.1619293,44.9536891,133,279,4,0.322815534,216,179,21,0.546835443,223,177,16,0.5575,220,175,21,0.556962025,159,239,18,0.399497487,219,182,15,0.546134663,240,162,14,0.597014925
283,PENOBSCOT,1222,-68.7111394,44.4645202,329,343,6,0.489583333,375,273,30,0.578703704,344,298,36,0.535825545,369,278,31,0.570324575,301,334,43,0.474015748,376,262,40,0.589341693,345,301,32,0.534055728
284,PERHAM,365,-68.1975086,46.8440085,63,101,9,0.384146341,76,83,14,0.477987421,90,71,12,0.559006211,77,85,11,0.475308642,63,97,13,0.39375,86,76,11,0.530864198,64,98,11,0.395061728
285,PERRY,927,-67.0748807,44.974757,152,253,1,0.375308642,192,203,11,0.486075949,201,192,13,0.511450382,195,199,12,0.494923858,152,238,16,0.38974359,205,188,13,0.521628499,211,185,10,0.532828283
286,PERU,1511,-70.4062771,44.5065458,250,590,6,0.297619048,486,336,24,0.591240876,477,341,28,0.583129584,482,340,24,0.586374696,373,445,28,0.45599022,487,330,29,0.596083231,427,384,35,0.526510481
287,PHILLIPS,1022,-70.3395105,44.8231127,194,326,16,0.373076923,285,230,21,0.553398058,292,219,25,0.571428571,285,224,27,0.559921415,212,297,27,0.416502947,315,199,22,0.612840467,269,240,27,0.52848723
288,PHIPPSBURG,2268,-69.8147684,43.820638,526,728,19,0.419457735,744,473,56,0.611339359,733,478,62,0.605284889,751,455,67,0.622719735,610,584,79,0.510887772,779,430,64,0.64433416,807,395,71,0.671381032
289,PITTSFIELD,3994,-69.3833847,44.7825145,531,1001,53,0.346605744,845,641,99,0.568640646,912,575,98,0.6133154,907,581,97,0.609543011,725,751,109,0.491192412,903,584,98,0.607262946,839,643,103,0.566126856
290,PITTSTON,2735,-69.7555995,44.2217367,524,919,16,0.363132363,772,628,59,0.551428571,766,628,65,0.549497848,803,593,63,0.5752149,606,787,66,0.435032304,781,615,63,0.559455587,725,667,67,0.520833333
291,PLYMOUTH,1350,-69.2103252,44.7672891,162,409,20,0.283712785,274,269,48,0.504604052,289,249,53,0.537174721,271,269,51,0.501851852,197,337,57,0.368913858,289,253,49,0.533210332,263,279,49,0.485239852
292,POLAND,5647,-70.3936675,44.0606281,1091,1608,20,0.404223787,1459,1191,69,0.550566038,1437,1198,84,0.545351044,1477,1161,81,0.559893859,1081,1542,96,0.412123523,1525,1104,90,0.580068467,1369,1251,99,0.522519084
293,PORTER,1520,-70.9332266,43.7961667,261,434,9,0.375539568,356,303,45,0.540212443,393,270,41,0.592760181,359,300,45,0.544764795,266,384,54,0.409230769,395,260,49,0.603053435,347,305,52,0.532208589
294,PORTLAND,66215,-70.2568189,43.6590993,20305,9029,814,0.692200177,20690,7582,1876,0.731819468,20961,7262,1925,0.742692131,21193,6991,1964,0.751951462,18497,9354,2297,0.664141323,22968,5480,1700,0.807367829,20474,7525,2149,0.731240401
295,POWNAL,1549,-70.1803764,43.9133191,406,531,15,0.433297759,506,395,51,0.561598224,477,428,47,0.527071823,500,400,52,0.555555556,393,504,55,0.43812709,529,377,46,0.58388521,462,436,54,0.514476615
296,PRINCETON,792,-67.5721648,45.2234034,86,337,4,0.203309693,223,184,20,0.547911548,256,149,22,0.632098765,241,163,23,0.596534653,170,232,25,0.422885572,226,180,21,0.556650246,234,175,18,0.572127139
297,PROSPECT,746,-68.8647555,44.5531298,91,223,16,0.289808917,153,154,23,0.498371336,166,139,25,0.544262295,150,157,23,0.488599349,129,173,28,0.427152318,153,150,27,0.504950495,154,151,25,0.504918033
298,RANDOLPH,1709,-69.7666546,44.2306461,393,444,20,0.46953405,494,326,37,0.602439024,494,326,37,0.602439024,524,296,37,0.63902439,395,418,44,0.485854859,526,289,42,0.645398773,484,329,44,0.595325953
299,RANGELEY,1155,-70.6427102,44.9656821,266,477,14,0.358008075,425,289,43,0.595238095,483,235,39,0.67270195,450,261,46,0.632911392,379,331,47,0.533802817,491,229,37,0.681944444,440,281,36,0.610263523
300,RAYMOND,4523,-70.468437,43.9015631,1045,1271,34,0.451208981,1248,1010,92,0.552701506,1266,983,101,0.562916852,1354,900,96,0.600709849,1091,1150,109,0.486836234,1356,903,91,0.600265604,1256,998,96,0.557231588
301,READFIELD,2571,-69.9667188,44.3878453,608,825,27,0.424284717,907,507,46,0.641442716,858,546,56,0.611111111,885,516,59,0.631691649,730,664,66,0.523672884,875,528,57,0.623663578,822,571,67,0.590093324
302,REED,144,-68.1436099,45.724382,25,51,0,0.328947368,31,33,12,0.484375,37,26,13,0.587301587,33,31,12,0.515625,15,45,16,0.25,30,33,13,0.476190476,24,35,17,0.406779661
303,RICHMOND,3470,-69.8025788,44.0880682,701,914,16,0.434055728,878,687,66,0.561022364,895,665,71,0.573717949,920,640,71,0.58974359,709,838,84,0.458306399,945,619,67,0.604219949,847,707,77,0.545045045
304,RIPLEY,471,-69.3717134,44.9911704,67,146,1,0.314553991,112,98,4,0.533333333,117,91,6,0.5625,117,90,7,0.565217391,90,116,8,0.436893204,115,95,4,0.547619048,108,98,8,0.524271845
305,ROBBINSTON,559,-67.1094283,45.0781324,96,176,7,0.352941176,131,139,9,0.485185185,161,105,13,0.605263158,151,118,10,0.56133829,122,145,12,0.456928839,160,109,10,0.594795539,152,115,12,0.56928839
306,ROCKLAND,7165,-69.1089293,44.1036914,1607,1034,71,0.608481636,1608,958,146,0.626656274,1601,935,176,0.631309148,1586,959,167,0.623182711,1315,1203,194,0.522239873,1779,790,143,0.692487349,1631,924,157,0.638356164
307,ROCKPORT,3363,-69.0760975,44.1844817,1051,814,37,0.563538874,1195,628,79,0.655512891,1139,660,103,0.633129516,1158,641,103,0.643690939,1036,744,122,0.582022472,1231,588,83,0.676745465,1166,634,102,0.647777778
308,ROME,1007,-69.903486,44.5722051,202,330,5,0.379699248,302,200,35,0.601593625,310,196,31,0.612648221,307,199,31,0.606719368,237,267,33,0.470238095,314,188,35,0.625498008,280,219,38,0.561122244
309,ROXBURY,361,-70.593401,44.6697827,66,162,1,0.289473684,122,100,7,0.54954955,115,107,7,0.518018018,122,101,6,0.547085202,91,130,8,0.411764706,126,96,7,0.567567568,104,118,7,0.468468468
310,RUMFORD,5744,-70.5508829,44.5536606,916,1430,19,0.390451833,1488,815,62,0.646113765,1505,786,74,0.656918376,1423,872,70,0.620043573,1133,1157,75,0.494759825,1580,725,60,0.685466377,1368,927,70,0.596078431
311,SABATTUS,5036,-70.1031247,44.1152935,941,1242,31,0.431058177,1077,1039,98,0.508979206,1068,1027,119,0.509785203,1153,950,111,0.548264384,816,1271,127,0.390991854,1177,936,101,0.557027922,991,1109,114,0.471904762
312,SACO,19964,-70.4428286,43.5009176,4344,3776,242,0.534975369,4908,3001,453,0.620558857,4999,2878,485,0.634632474,5163,2714,485,0.655452583,4196,3610,556,0.537535229,5407,2512,443,0.682788231,4816,3040,506,0.613034623
313,SANFORD,21223,-70.7742804,43.4391627,3738,3586,159,0.510376843,4139,2912,432,0.587008935,4325,2732,426,0.612866657,4318,2739,426,0.611874734,3318,3659,506,0.475562563,4732,2355,396,0.667701425,4056,2965,462,0.577695485
314,SANGERVILLE,1269,-69.357317,45.1645956,191,412,8,0.316749585,289,294,28,0.495711835,313,272,26,0.535042735,320,263,28,0.548885077,237,338,36,0.412173913,314,274,23,0.534013605,273,308,30,0.469879518
315,SCARBOROUGH,20991,-70.3344921,43.5901974,5628,4646,213,0.547790539,5721,4232,534,0.574801567,6008,3893,586,0.606807393,6464,3504,519,0.64847512,5224,4648,615,0.52917342,6443,3519,525,0.646757679,5946,3968,573,0.599757918
316,SEARSMONT,1417,-69.1950411,44.3617419,241,399,9,0.3765625,378,245,26,0.606741573,365,247,37,0.596405229,348,267,34,0.565853659,279,331,39,0.457377049,368,247,34,0.598373984,348,267,34,0.565853659
317,SEARSPORT,2634,-68.9038627,44.463934,519,669,26,0.436868687,661,484,69,0.577292576,651,491,72,0.570052539,651,486,77,0.572559367,511,617,86,0.453014184,680,463,71,0.594925634,670,471,73,0.587204207
318,SEBAGO,1829,-70.677518,43.8872801,385,529,8,0.421225383,490,392,40,0.555555556,511,369,42,0.580681818,518,359,45,0.590649943,421,455,46,0.480593607,549,332,41,0.623155505,497,377,48,0.568649886
319,SEBEC,592,-69.1167087,45.2714408,74,258,4,0.222891566,168,159,9,0.513761468,180,144,12,0.555555556,180,147,9,0.550458716,134,190,12,0.413580247,158,169,9,0.483180428,149,174,13,0.46130031
320,SEBOEIS,34,-68.7111424,45.3631091,4,22,0,0.153846154,15,10,1,0.6,16,9,1,0.64,15,10,1,0.6,13,12,1,0.52,16,9,1,0.64,13,12,1,0.52
321,SEDGWICK,1176,-68.6155184,44.3040651,317,269,17,0.540955631,353,214,36,0.622574956,350,206,47,0.629496403,347,212,44,0.620751342,295,265,43,0.526785714,358,212,33,0.628070175,359,201,43,0.641071429
322,SHAPLEIGH,2754,-70.8481164,43.5406359,490,712,14,0.40765391,661,511,44,0.563993174,670,497,49,0.57412168,668,498,50,0.572898799,516,644,56,0.444827586,725,446,45,0.61912895,610,554,52,0.524054983
323,SHERMAN,778,-68.4178063,45.8711632,139,405,10,0.255514706,206,315,33,0.395393474,253,269,32,0.48467433,254,273,27,0.481973435,174,345,35,0.335260116,202,322,30,0.385496183,184,337,33,0.353166987
324,SHIRLEY,225,-69.633903,45.3476081,40,91,3,0.305343511,60,67,7,0.472440945,73,55,6,0.5703125,67,58,9,0.536,45,80,9,0.36,62,64,8,0.492063492,59,67,8,0.468253968
325,SIDNEY,4468,-69.7226248,44.4530868,721,1479,21,0.327727273,1191,951,79,0.556022409,1204,928,89,0.564727955,1288,850,83,0.60243218,993,1129,99,0.46795476,1218,926,77,0.568097015,1112,1014,95,0.523047977
326,SKOWHEGAN,8239,-69.7193803,44.7650366,1325,2129,67,0.383613202,1959,1388,174,0.585300269,2024,1321,176,0.605082212,2040,1308,173,0.609318996,1597,1730,194,0.480012023,2133,1222,166,0.635767511,1880,1458,183,0.563211504
327,SMITHFIELD,1009,-69.8294968,44.6303411,180,332,6,0.3515625,288,211,19,0.577154309,286,212,20,0.574297189,296,202,20,0.59437751,246,247,25,0.498985801,285,213,20,0.572289157,265,230,23,0.535353535
328,SMYRNA,418,-68.1203515,46.1644547,28,83,0,0.252252252,52,54,5,0.490566038,59,47,5,0.556603774,56,52,3,0.518518519,38,68,5,0.358490566,51,55,5,0.481132075,41,65,5,0.386792453
329,SOLON,1076,-69.858391,44.949502,199,329,3,0.376893939,287,223,21,0.562745098,293,218,20,0.573385519,288,220,23,0.566929134,217,291,23,0.427165354,305,209,17,0.593385214,246,263,22,0.483300589
330,SOMERVILLE,565,-69.4889674,44.3092443,95,160,1,0.37254902,144,104,8,0.580645161,143,104,9,0.578947368,131,114,11,0.534693878,106,135,15,0.439834025,144,101,11,0.587755102,130,114,12,0.532786885
331,SORRENTO,268,-68.1772341,44.4734117,94,90,6,0.510869565,112,69,9,0.61878453,118,61,11,0.659217877,124,56,10,0.688888889,118,60,12,0.662921348,117,65,8,0.642857143,121,61,8,0.664835165
332,SOUTHPORT,600,-69.6586568,43.8409158,213,171,4,0.5546875,218,156,14,0.582887701,228,146,14,0.609625668,204,166,18,0.551351351,190,181,17,0.51212938,234,143,11,0.620689655,248,125,15,0.664879357
333,SPRINGFIELD,425,-68.1562304,45.376663,35,121,4,0.224358974,72,79,9,0.476821192,72,78,10,0.48,76,72,12,0.513513514,59,89,12,0.398648649,59,89,12,0.398648649,64,82,14,0.438356164
334,STACYVILLE,383,-68.4290992,45.8992168,39,137,2,0.221590909,74,82,22,0.474358974,77,76,25,0.503267974,65,86,27,0.430463576,57,96,25,0.37254902,65,88,25,0.424836601,63,92,23,0.406451613
335,STANDISH,10099,-70.5509356,43.7355927,1896,2464,57,0.434862385,2419,1866,132,0.564527421,2459,1818,140,0.574935703,2556,1721,140,0.597615151,1974,2281,162,0.463924794,2532,1739,146,0.592835402,2326,1927,164,0.546908065
336,STARKS,636,-69.9661707,44.7306156,104,188,4,0.356164384,179,103,14,0.634751773,163,116,17,0.584229391,157,121,18,0.564748201,119,159,18,0.428057554,168,112,16,0.6,154,122,20,0.557971014
337,STETSON,1190,-69.1431864,44.8919352,194,364,4,0.347670251,264,271,27,0.493457944,271,266,25,0.504655493,283,250,29,0.530956848,224,309,29,0.420262664,264,275,23,0.489795918,233,302,27,0.435514019
338,STEUBEN,1132,-67.9652562,44.5107169,207,286,20,0.419878296,243,195,75,0.554794521,279,157,77,0.639908257,275,169,69,0.619369369,209,225,79,0.48156682,272,178,63,0.604444444,273,165,75,0.623287671
339,STOCKHOLM,232,-68.1394756,47.0422642,51,84,3,0.377777778,76,55,7,0.580152672,77,52,9,0.596899225,75,56,7,0.572519084,59,71,8,0.453846154,77,53,8,0.592307692,62,67,9,0.480620155
340,STONEHAM,248,-70.8125232,44.2503507,52,99,1,0.344370861,95,45,12,0.678571429,88,50,14,0.637681159,87,52,13,0.625899281,59,77,16,0.433823529,91,45,16,0.669117647,88,47,17,0.651851852
341,STONINGTON,1032,-68.6666926,44.156192,264,204,10,0.564102564,291,166,21,0.636761488,314,138,26,0.694690265,301,151,26,0.665929204,237,211,30,0.529017857,324,129,25,0.715231788,342,111,25,0.754966887
342,STOW,456,-70.9850708,44.160623,87,86,5,0.502890173,98,68,12,0.590361446,97,67,14,0.591463415,95,67,16,0.586419753,73,91,14,0.445121951,109,58,11,0.652694611,87,79,12,0.524096386
343,STRONG,1160,-70.2208981,44.8075572,160,411,3,0.280210158,284,274,16,0.508960573,328,230,16,0.58781362,287,267,20,0.518050542,219,338,17,0.393177738,296,266,12,0.526690391,266,293,15,0.475849732
344,SULLIVAN,1266,-68.1518287,44.5265074,255,268,10,0.487571702,296,210,27,0.584980237,308,199,26,0.607495069,310,200,23,0.607843137,244,265,24,0.479371316,293,213,27,0.579051383,293,213,27,0.579051383
345,SUMNER,919,-70.4383944,44.3920113,165,313,6,0.345188285,221,246,17,0.473233405,236,231,17,0.505353319,232,236,16,0.495726496,174,288,22,0.376623377,229,239,16,0.489316239,209,252,23,0.453362256
346,SURRY,1502,-68.5016874,44.4959099,407,423,20,0.490361446,497,310,43,0.615861214,526,279,45,0.653416149,533,272,45,0.662111801,482,315,53,0.60476788,526,284,40,0.649382716,497,310,43,0.615861214
347,SWANVILLE,1351,-68.9978129,44.5211855,204,382,20,0.348122867,318,250,38,0.559859155,302,260,44,0.537366548,282,286,38,0.496478873,240,321,45,0.427807487,326,248,32,0.567944251,300,270,36,0.526315789
348,SWEDEN,410,-70.8228959,44.133285,111,93,1,0.544117647,137,63,5,0.685,130,66,9,0.663265306,138,61,6,0.693467337,123,75,7,0.621212121,140,58,7,0.707070707,125,75,5,0.625
349,TALMADGE,61,-67.7541957,45.3386197,4,28,0,0.125,17,13,2,0.566666667,16,14,2,0.533333333,14,15,3,0.482758621,10,19,3,0.344827586,12,17,3,0.413793103,15,14,3,0.517241379
350,TEMPLE,517,-70.2264519,44.6850592,125,150,6,0.454545455,158,113,10,0.58302583,164,103,14,0.61423221,142,125,14,0.531835206,108,158,15,0.406015038,157,110,14,0.588014981,141,125,15,0.530075188
351,THOMASTON,2745,-69.1816955,44.0789574,618,547,23,0.530472103,735,401,52,0.647007042,726,406,56,0.641342756,711,412,65,0.633125557,579,542,67,0.516503122,773,373,42,0.67452007,744,387,57,0.657824934
