,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes,q7yes,q7no,q7blank,q7pyes
143,GARFIELD,74,-68.4973291,46.6014312,20,27,3,0.425531915,20,24,6,0.454545455,22,22,6,0.5,26,19,5,0.577777778,14,31,5,0.311111111,20,25,5,0.444444444,11,34,5,0.244444444
144,GARLAND,1052,-69.1603206,45.0383951,136,333,2,0.289978678,219,246,6,0.470967742,242,209,20,0.536585366,241,213,17,0.530837004,191,262,18,0.421633554,240,217,14,0.525164114,212,243,16,0.465934066
145,GEORGETOWN,1069,-69.752359,43.8021196,327,326,9,0.500765697,408,227,27,0.642519685,397,235,30,0.628164557,384,246,32,0.60952381,338,288,36,0.539936102,420,213,29,0.663507109,420,211,31,0.665610143
146,GILEAD,204,-70.9727112,44.3940915,36,53,2,0.404494382,54,33,4,0.620689655,51,35,5,0.593023256,51,37,3,0.579545455,42,44,5,0.488372093,60,27,4,0.689655172,51,35,5,0.593023256
147,GLENBURN,4563,-68.8457461,44.9168621,694,1342,22,0.34086444,1033,959,66,0.518574297,1144,846,68,0.574874372,1205,787,66,0.604919679,944,1041,73,0.475566751,1107,883,68,0.556281407,1060,926,72,0.533736153
149,GORHAM,17978,-70.4442252,43.6795314,3611,3881,133,0.481980779,4444,2829,352,0.611027086,4433,2818,374,0.61136395,4753,2506,366,0.654773385,3835,3381,409,0.531457871,4789,2496,340,0.657378174,4361,2887,377,0.601683223
150,GOULDSBORO,1741,-68.039543,44.47852,418,422,20,0.497619048,461,350,49,0.568434032,473,336,51,0.584672435,502,313,45,0.61595092,413,393,54,0.512406948,453,359,48,0.557881773,477,333,50,0.588888889
151,GRAY,8223,-70.3317195,43.885632,1550,2332,136,0.399278722,2058,1757,203,0.539449541,2181,1619,218,0.573947368,2257,1552,209,0.592543975,1793,1993,232,0.473586899,2324,1502,192,0.607422896,2096,1695,227,0.55288842
152,GREENBUSH,1513,-68.6508635,45.0803409,177,372,8,0.322404372,261,273,23,0.488764045,277,255,25,0.520676692,266,262,29,0.503787879,202,327,28,0.381852552,242,286,29,0.458333333,239,286,32,0.455238095
153,GREENE,4339,-70.1403313,44.189794,831,1322,22,0.385973061,1153,940,82,0.550883899,1097,984,94,0.527150408,1180,902,93,0.566762728,854,1213,108,0.413159168,1169,917,89,0.560402685,1036,1048,91,0.497120921
154,GREENVILLE,1604,-69.5905814,45.4594863,351,683,14,0.339458414,532,471,45,0.530408774,574,419,55,0.578046324,569,435,44,0.566733068,440,558,50,0.440881764,551,452,45,0.549351944,490,505,53,0.492462312
155,GREENWOOD,807,-70.6508978,44.3184011,155,230,6,0.402597403,221,152,18,0.592493298,230,146,15,0.611702128,214,157,20,0.576819407,166,206,19,0.446236559,228,145,18,0.611260054,202,171,18,0.54155496
156,GUILFORD,1448,-69.3844783,45.1689375,203,429,14,0.321202532,290,319,37,0.476190476,348,266,32,0.566775244,349,264,33,0.569331158,257,345,44,0.426910299,342,273,31,0.556097561,294,308,44,0.488372093
157,HALLOWELL,2381,-69.7908786,44.2859022,821,582,38,0.585174626,1020,347,74,0.746159473,995,366,80,0.731080088,996,371,74,0.72860278,899,452,90,0.665433013,1076,296,69,0.78425656,971,390,80,0.713445996
158,HAMLIN,203,-67.7939057,47.065878,40,43,1,0.481927711,40,38,6,0.512820513,45,33,6,0.576923077,50,30,4,0.625,36,44,4,0.45,42,37,5,0.53164557,38,42,4,0.475
159,HAMMOND,110,-67.9177143,46.1949948,6,35,2,0.146341463,20,21,2,0.487804878,18,23,2,0.43902439,25,16,2,0.609756098,20,21,2,0.487804878,24,17,2,0.585365854,15,26,2,0.365853659
160,HAMPDEN,7412,-68.8370436,44.7445421,1305,1985,90,0.396656535,1830,1359,191,0.573847601,1882,1279,219,0.595381208,2037,1149,194,0.639359699,1658,1492,230,0.526349206,1893,1287,200,0.595283019,1785,1372,223,0.5654102
161,HANCOCK,2431,-68.2537463,44.5291357,489,589,11,0.453617811,575,483,31,0.543478261,620,427,42,0.592168099,652,401,36,0.619183286,563,487,39,0.536190476,614,447,28,0.57869934,609,443,37,0.578897338
162,HANOVER,262,-70.6942351,44.4967315,66,94,1,0.4125,90,65,6,0.580645161,90,62,9,0.592105263,93,62,6,0.6,70,82,9,0.460526316,88,64,9,0.578947368,85,66,10,0.562913907
163,HARMONY,898,-69.5461603,44.9739462,131,278,14,0.320293399,193,192,38,0.501298701,199,182,42,0.522309711,222,164,37,0.575129534,160,221,42,0.419947507,191,192,40,0.498694517,170,208,45,0.44973545
164,HARPSWELL,4918,-69.9598343,43.7864342,1602,1422,45,0.529761905,1979,968,122,0.67153037,1969,948,152,0.67500857,1916,1023,130,0.651922423,1665,1242,162,0.572755418,2010,933,126,0.682976555,2139,808,122,0.725822871
165,HARRINGTON,964,-67.8109953,44.6193327,131,278,6,0.320293399,199,192,24,0.508951407,225,168,22,0.572519084,211,177,27,0.543814433,166,220,29,0.430051813,198,199,18,0.498740554,212,182,21,0.538071066
166,HARRISON,2800,-70.6792289,44.1103479,563,689,14,0.449680511,694,520,52,0.571663921,685,524,57,0.566583954,689,524,53,0.56801319,543,662,61,0.450622407,740,485,41,0.604081633,647,562,57,0.535153019
167,HARTFORD,1214,-70.346726,44.372845,219,345,6,0.388297872,300,242,28,0.553505535,307,239,24,0.562271062,301,239,30,0.557407407,224,314,32,0.416356877,324,218,28,0.597785978,275,266,29,0.50831793
168,HARTLAND,1724,-69.512853,44.8965211,221,529,18,0.294666667,348,386,34,0.474114441,404,323,41,0.555708391,389,339,40,0.534340659,283,440,45,0.39142462,398,335,35,0.542974079,353,374,41,0.485557084
169,HAYNESVILLE,112,-67.9911283,45.8261688,12,37,1,0.244897959,21,27,2,0.4375,24,23,3,0.510638298,27,20,3,0.574468085,17,29,4,0.369565217,23,24,3,0.489361702,19,29,2,0.395833333
170,HEBRON,1419,-70.4064465,44.1981261,213,440,4,0.32618683,368,253,36,0.592592593,339,282,36,0.54589372,373,250,34,0.598715891,270,344,43,0.439739414,358,266,33,0.573717949,328,291,38,0.529886914
171,HERMON,6033,-68.9133724,44.81007,880,1802,31,0.328113348,1365,1259,89,0.520198171,1479,1138,96,0.565150936,1588,1036,89,0.605182927,1215,1397,101,0.465160796,1373,1238,102,0.525852164,1308,1305,100,0.500574053
