,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,X,X.1
395,WINDHAM,18540,-70.398706,43.7588577,967,1163,18,0.45399061,1321,818,9,0.617578308,1363,772,13,0.638407494,NA,
396,WINDSOR,2609,-69.580599,44.3106263,124,200,2,0.382716049,199,126,1,0.612307692,207,119,0,0.634969325,NA,
397,WINN,406,-68.3326304,45.4512875,18,32,0,0.36,31,19,0,0.62,35,15,0,0.7,NA,
398,WINSLOW,7618,-69.6203137,44.5459679,483,512,4,0.485427136,663,331,5,0.667002012,717,276,6,0.722054381,NA,
399,WINTERPORT,3985,-68.8449792,44.6377864,238,279,0,0.460348162,336,179,2,0.652427184,345,171,1,0.668604651,NA,
400,WINTERVILLE,207,-68.644972,46.9544298,21,10,2,0.677419355,22,8,3,0.733333333,18,13,2,0.580645161,NA,
401,WINTHROP,5993,-69.9769721,44.3050332,602,531,9,0.531332745,811,324,7,0.714537445,845,293,4,0.742530756,NA,
402,WISCASSET,3763,-69.665583,44.0028921,274,335,4,0.449917898,397,213,3,0.650819672,450,160,3,0.737704918,NA,
403,WOODLAND,1143,-68.1209284,46.8822935,75,79,0,0.487012987,112,42,0,0.727272727,98,56,0,0.636363636,NA,
404,WOODSTOCK,1296,-70.5994659,44.4010489,89,99,0,0.473404255,119,69,0,0.632978723,113,75,0,0.60106383,NA,
405,WOODVILLE,236,-68.4427962,45.5014105,7,18,0,0.28,15,10,0,0.6,12,13,0,0.48,NA,
406,WOOLWICH,3181,-69.8009529,43.9187038,538,564,24,0.488203267,721,385,20,0.651898734,785,315,26,0.713636364,NA,
407,YARMOUTH,8589,-70.1867227,43.8006208,1057,559,5,0.654084158,1216,401,4,0.752009895,1298,319,4,0.802721088,NA,
408,YORK,13290,-70.6482581,43.1617483,1995,840,53,0.703703704,2199,645,44,0.773206751,2403,439,46,0.845531316,NA,
