city,lon,lat,q1pyes,q2pyes,q3pyes,q4pyes,q5pyes
CALAIS,-67.2786038,45.1889633,0.454545455,0.499295775,0.533286615,0.756588072,0.647798742
CAMBRIDGE,-69.4739368,45.0242231,0.267657993,0.294339623,0.443609023,0.594795539,0.473880597
CAMDEN,-69.0647838,44.2097928,0.697265011,0.669004676,0.753509631,0.799274885,0.763600396
CANAAN,-69.5614376,44.7617295,0.414,0.380020597,0.544252289,0.682604273,0.549948507
CANTON,-69.4454689,45.253783,0.357438017,0.361290323,0.530398323,0.625792812,0.528541226
CARATUNK,-69.9903474,45.2335733,0.36,0.416666667,0.666666667,0.645833333,0.458333333
CARMEL,-69.0511537,44.7975688,0.359972678,0.365819209,0.497540408,0.664565826,0.501410437
CARROLL,-68.0366118,45.4144799,0.154761905,0.231707317,0.493975904,0.56626506,0.34939759
CARTHAGE,-70.4734195,44.6240737,0.338645418,0.334693878,0.601626016,0.634146341,0.479508197
CARY,-67.8619616,45.995333,0.160714286,0.302752294,0.387387387,0.5625,0.440366972
CASCO,-70.5211945,43.969246,0.502057613,0.44,0.628125,0.687958115,0.551814834
CASTINE,-68.7989582,44.3888609,0.663244353,0.733333333,0.7125,0.810810811,0.756813417
CASWELL,-67.8644525,46.9811169,0.328467153,0.477941176,0.525925926,0.826086957,0.676258993
CHAPMAN,-68.1608669,46.6480974,0.356275304,0.510288066,0.619834711,0.768595041,0.626556017
CHARLESTON,-69.0405949,45.0850615,0.235820896,0.283333333,0.424012158,0.585626911,0.43404908
CHARLOTTE,-67.2452664,45.0211881,0.283236994,0.408284024,0.467065868,0.742690058,0.552941176
CHELSEA,-69.7172658,44.2503474,0.397178916,0.40777439,0.541603631,0.689629069,0.558510638
CHERRYFIELD,-67.9258366,44.6072991,0.377740304,0.388193202,0.532976827,0.697345133,0.531194296
CHESTER,-68.4997474,45.4086674,0.210714286,0.3099631,0.391941392,0.56884058,0.384615385
CHESTERVILLE,-70.0861692,44.5511745,0.427286357,0.398176292,0.590288316,0.676248109,0.551145038
CHINA,-69.5172641,44.4786791,0.437637726,0.452209197,0.568161435,0.700625559,0.564021641
CLIFTON,-68.511138,44.8167372,0.482608696,0.360801782,0.495535714,0.616071429,0.473214286
CLINTON,-69.5031267,44.637828,0.411320755,0.422336329,0.556488057,0.71025641,0.582846004
COLUMBIA,-67.8039998,44.669418,0.357843137,0.275,0.426470588,0.607843137,0.396039604
COOPER,-67.4397144,44.959521,0.419354839,0.491803279,0.488,0.677419355,0.532258065
COPLIN,-70.4697339,45.0987282,0.544303797,0.3125,0.670886076,0.708860759,0.576923077
CORINNA,-69.2617131,44.921174,0.291896869,0.367231638,0.483146067,0.677902622,0.513666352
CORINTH,-68.9991802,44.9861321,0.282530554,0.355439642,0.471810089,0.668630339,0.483655275
CORNISH,-70.8011731,43.8047977,0.462151394,0.41563786,0.586956522,0.691156463,0.589603283
CORNVILLE,-69.6731067,44.8367272,0.381165919,0.36,0.514503817,0.659606657,0.501529052
CRAWFORD,-67.5513796,45.0528624,0.206349206,0.435483871,0.483870968,0.634920635,0.516129032
CRYSTAL,-68.3603059,45.9592186,0.281690141,0.402985075,0.422222222,0.717391304,0.536231884
CUMBERLAND,-70.2585205,43.796573,0.663449692,0.567164179,0.65209205,0.748013384,0.676761304
CUSHING,-69.2614502,44.0137798,0.463592233,0.438216561,0.595238095,0.721598002,0.561626429
CUTLER,-67.2038737,44.6575794,0.386861314,0.348837209,0.423076923,0.583969466,0.428015564
CYR,-67.9992115,47.0968485,0.23255814,0.372093023,0.488372093,0.704545455,0.441860465
DALLAS,-70.5559011,44.9969997,0.524444444,0.543778802,0.660633484,0.783783784,0.678733032
DAMARISCOTTA,-69.5188885,44.0328765,0.589093702,0.583400483,0.673000792,0.77104642,0.6738437
DAYTON,-70.5704598,43.5358694,0.500441306,0.40469738,0.572327044,0.642152466,0.524368231
DEBLOIS,-68.0147304,44.7414636,0.296296296,0.296296296,0.555555556,0.692307692,0.423076923
DEDHAM,-68.6582536,44.6931707,0.523300971,0.451676529,0.543137255,0.67745098,0.551282051
DENMARK,-70.8033966,43.9703491,0.516616314,0.449367089,0.620904836,0.719626168,0.561708861
DENNISTOWN,-70.2831241,45.6769905,0.375,0.25,0.6,0.333333333,0.266666667
DETROIT,-69.2960151,44.7927823,0.409090909,0.330749354,0.5078125,0.694087404,0.5374677
DEXTER,-69.2898156,45.023918,0.34691358,0.403587444,0.521711367,0.69761606,0.569620253
DIXFIELD,-70.4563366,44.5313932,0.401581028,0.373572594,0.52404238,0.664781906,0.52601626
DIXMONT,-69.1628221,44.6803471,0.435158501,0.331369661,0.477941176,0.60058309,0.478581979
DOVER-FOXCROFT,-69.2270821,45.1833421,0.417102138,0.429679922,0.515784361,0.680676329,0.564015519
DRESDEN,-69.7242215,44.1070945,0.470119522,0.414609053,0.582317073,0.68597561,0.553735926
